Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
26,5,3,2,1,1,2,2,0,2
27,1,4,4,0,0,2,4,0,0
24,4,4,4,1,1,1,4,0,0
48,16,4,4,1,1,1,4,0,2
24,1,4,4,1,1,1,3,0,2
33,3,3,3,1,1,3,4,0,0
28,1,3,4,1,1,3,1,1,0
30,4,2,3,1,0,3,2,0,0
21,1,2,2,1,1,3,2,0,2
30,7,3,3,1,1,3,4,0,2
26,2,3,4,1,1,3,3,0,0
48,8,1,2,1,1,3,1,0,0
25,1,3,4,1,1,2,1,0,0
46,4,4,4,1,1,1,4,0,2
25,3,2,4,1,1,3,3,0,2
33,3,2,2,1,1,2,3,0,1
44,1,2,3,0,1,2,4,0,1
42,4,3,3,0,1,3,4,0,1
29,5,3,4,1,1,3,3,0,2
34,2,4,4,0,0,3,2,0,1
32,2,2,4,1,1,3,3,0,0
38,5,4,4,1,1,1,3,0,1
31,4,3,4,1,1,1,3,0,1
37,6,2,3,1,1,3,4,0,2
45,2,2,4,1,0,2,4,0,0
22,2,3,4,0,1,3,4,0,2
43,7,2,3,1,1,3,4,0,0
24,1,4,4,1,1,1,4,0,1
28,5,4,4,1,1,2,4,0,2
34,6,4,4,1,1,3,4,0,1
30,2,4,4,1,1,4,3,0,2
24,2,2,4,1,1,3,3,0,1
32,3,4,4,1,1,1,4,0,2
34,3,4,4,0,1,1,2,0,0
25,2,2,3,1,1,3,2,0,0
18,1,3,4,1,1,3,4,0,1
36,3,4,4,1,1,3,3,0,1
43,5,1,3,1,0,3,2,0,0
30,1,4,4,1,1,1,4,0,2
29,0,2,4,1,0,3,4,0,0
45,4,2,3,1,0,2,4,0,0
35,9,3,2,1,0,3,4,0,2
34,6,3,3,1,1,2,3,0,0
21,1,4,4,1,1,2,3,0,2
25,2,3,1,1,0,3,4,0,1
39,3,4,4,0,1,2,4,0,1
29,1,2,3,1,1,1,1,0,0
25,3,3,4,1,0,3,4,0,2
32,2,4,4,1,0,3,4,0,2
43,10,3,4,1,1,3,3,0,0
24,2,2,4,1,1,1,4,0,2
29,1,2,3,1,1,1,2,0,0
33,2,4,4,1,0,1,4,0,2
37,2,4,4,1,1,1,4,0,0
46,5,4,3,1,1,1,4,0,1
33,2,2,3,1,1,3,2,0,0
35,1,4,4,1,1,1,3,0,0
24,0,4,4,1,0,2,2,0,0
36,6,2,1,1,1,2,1,0,1
48,1,1,1,1,0,3,3,1,0
40,2,4,4,0,1,1,4,0,0
26,3,3,4,1,1,2,3,0,1
28,5,3,4,1,1,2,4,0,2
22,2,3,3,1,1,2,4,0,0
27,4,2,4,1,1,3,4,0,2
43,5,4,4,1,0,1,4,0,0
40,5,4,4,1,1,1,3,0,1
36,1,1,4,1,1,3,3,0,0
37,7,2,3,1,1,3,4,0,1
23,6,3,3,1,1,3,3,0,0
29,3,4,4,1,0,3,3,0,1
43,6,2,3,1,0,3,3,0,0
33,4,3,3,1,0,2,3,0,2
35,4,2,4,0,1,3,2,0,1
32,2,4,4,0,0,1,4,0,1
35,6,2,3,1,0,3,3,0,2
31,8,2,2,1,1,2,2,1,0
24,2,4,4,1,1,2,4,0,1
27,2,4,4,1,0,1,3,0,1
23,1,3,1,1,0,3,3,0,1
40,2,4,4,0,0,1,4,0,2
45,8,1,1,1,1,2,2,1,0
41,11,3,2,1,1,2,3,0,0
24,3,2,2,1,0,2,1,0,0
26,4,3,2,1,1,3,4,0,2
22,0,4,4,1,1,3,2,0,0
32,5,2,3,1,0,2,3,0,2
30,3,3,3,1,1,3,1,0,2
44,1,2,2,1,0,3,2,0,0
46,1,4,4,0,1,1,4,0,0
48,4,3,4,0,1,2,4,0,0
45,3,4,4,0,1,2,4,0,1
26,4,2,2,1,1,3,4,0,1
35,6,2,2,1,0,3,1,1,0
48,3,2,1,1,0,4,3,0,0
22,1,4,4,1,1,1,3,0,1
23,2,4,4,1,1,1,4,0,0
42,3,4,4,1,1,1,4,0,0
42,5,2,4,0,1,2,3,0,1
37,4,4,4,0,1,2,4,0,1
39,5,4,4,1,1,1,4,0,1
39,1,4,4,1,1,1,4,0,0
28,2,3,4,1,1,3,4,0,2
41,4,4,4,0,1,1,4,0,1
33,3,4,4,1,1,1,4,0,1
32,3,4,4,1,1,1,4,0,0
38,4,4,4,1,0,1,4,0,2
26,1,1,3,1,1,3,1,0,0
38,6,4,4,1,1,1,4,0,1
35,4,3,4,1,1,1,4,0,2
26,2,3,3,1,1,1,3,0,1
49,4,2,3,1,1,2,3,0,0
27,1,3,3,1,0,3,3,0,2
23,2,3,4,1,0,2,3,0,0
49,10,2,1,1,0,2,4,0,0
28,1,2,2,1,1,3,2,0,0
25,5,2,3,1,1,2,3,0,2
41,1,2,3,1,0,2,3,0,0
23,2,2,2,1,1,3,3,0,0
28,0,3,4,1,0,1,3,0,0
38,5,3,3,1,1,1,4,0,0
35,3,4,4,0,1,3,4,0,2
28,5,2,2,1,0,2,4,0,2
34,3,4,4,1,1,1,4,0,1
26,2,4,4,1,1,1,3,0,0
44,8,4,4,1,1,2,4,0,2
32,2,2,2,1,1,2,4,0,0
34,4,4,4,1,0,3,3,0,1
34,2,2,3,1,1,2,3,0,2
32,8,2,2,1,1,2,1,0,2
46,3,1,2,1,1,2,1,1,0
22,2,2,2,1,1,3,1,0,0
29,3,3,4,1,1,1,3,0,1
32,4,4,4,1,1,1,2,0,1
47,12,2,3,1,1,3,1,0,0
44,6,3,4,1,1,3,4,0,0
26,4,4,4,1,1,3,4,0,2
34,2,4,4,0,1,1,4,0,0
33,7,2,3,1,0,3,1,0,2
24,1,4,4,1,1,3,2,0,1
32,1,4,4,0,1,1,4,0,0
48,8,3,4,1,1,3,3,0,0
25,1,2,3,1,0,2,1,0,0
33,4,4,4,1,1,1,4,0,1
25,0,2,3,1,1,2,4,0,0
21,2,4,4,1,1,3,3,0,2
26,0,4,4,1,0,1,4,0,0
34,3,4,3,0,1,2,4,0,2
35,4,4,4,0,0,1,4,0,2
28,7,2,4,1,1,3,3,0,2
38,7,3,3,1,1,3,1,0,0
22,2,2,2,1,1,2,3,0,2
20,3,2,3,1,1,3,4,0,0
21,1,3,3,1,1,3,3,0,2
33,4,3,3,1,0,2,2,0,2
22,1,2,4,1,1,3,3,0,2
43,6,3,3,1,0,3,2,0,1
19,1,3,3,1,1,2,4,0,0
45,5,3,3,0,1,1,3,0,1
40,3,4,4,1,1,3,4,0,0
38,2,1,3,1,0,3,3,1,0
26,1,4,4,1,0,2,4,0,2
25,2,3,4,1,1,3,3,0,2
36,11,2,4,1,1,1,4,1,2
36,4,4,4,0,1,1,4,0,2
45,2,3,4,0,1,1,4,0,0
47,2,2,4,1,1,3,2,1,0
20,0,3,4,1,1,3,3,0,0
38,6,4,4,1,0,3,3,0,1
33,2,4,4,0,1,1,4,0,0
47,3,1,2,1,1,1,3,0,0
23,1,4,4,1,1,3,3,0,2
38,4,4,4,0,0,1,2,0,1
23,1,4,4,0,1,1,4,0,1
40,8,2,2,1,1,2,2,0,0
42,8,2,4,1,1,1,4,0,1
35,4,3,3,1,1,3,2,0,1
28,5,4,4,1,0,3,4,0,0
22,1,2,3,1,1,3,3,0,0
49,6,4,4,0,0,1,4,0,0
45,7,4,4,1,1,1,4,0,1
36,2,4,4,1,0,1,4,0,2
47,11,3,4,1,0,2,3,0,1
32,5,3,4,0,1,3,4,0,2
30,6,2,2,1,1,3,1,0,2
27,3,4,4,1,1,1,4,0,0
35,5,2,3,1,1,3,3,0,2
32,7,3,3,1,0,2,3,0,0
47,2,1,2,1,1,2,4,0,0
22,1,3,4,1,1,3,3,0,2
35,5,1,2,1,1,3,3,0,2
25,1,4,4,1,1,1,4,0,0
40,3,4,4,1,1,1,4,0,1
33,7,2,2,1,0,2,3,0,2
25,1,4,4,1,0,3,3,0,0
26,3,2,4,1,1,3,4,0,2
42,0,4,4,0,0,3,4,0,0
37,7,3,4,1,1,2,1,0,0
45,7,1,3,1,0,1,3,0,0
29,5,1,2,1,0,1,2,0,2
28,4,3,3,1,1,3,3,0,2
23,2,2,3,1,1,3,1,0,2
47,4,2,3,1,1,2,3,0,0
30,4,4,4,1,1,2,4,0,0
45,5,1,4,1,1,1,2,1,0
36,3,4,4,0,1,3,4,0,2
38,4,4,4,0,1,3,4,0,1
23,1,4,4,1,1,1,2,0,1
28,5,4,4,1,1,2,1,0,0
35,6,3,3,1,1,2,3,0,1
25,3,1,2,1,1,2,3,0,2
22,2,1,3,1,1,3,2,0,2
25,0,3,4,1,1,1,3,0,0
44,3,4,4,1,1,2,4,0,0
30,2,4,4,0,0,1,4,0,1
24,1,4,4,1,0,1,3,0,0
23,2,3,2,1,0,3,2,0,2
19,1,4,4,1,1,2,3,0,2
28,1,4,4,0,0,2,4,0,2
35,8,2,3,1,1,3,2,0,0
27,1,4,4,0,1,3,4,0,2
31,5,3,4,1,1,1,4,0,2
29,3,3,4,1,1,3,2,0,2
40,8,2,2,1,1,1,3,0,0
22,2,3,4,1,1,2,3,0,0
36,5,2,4,1,1,2,3,0,0
28,1,4,4,1,0,1,3,0,0
30,3,4,4,0,0,2,4,0,2
29,3,2,4,1,1,3,3,0,2
32,2,4,4,1,0,1,4,0,1
49,10,4,4,1,1,1,4,0,1
27,1,4,4,0,0,1,3,0,2
44,2,1,4,1,1,1,3,0,1
43,8,1,2,1,1,2,4,0,0
41,8,4,4,1,1,1,4,0,2
36,5,2,2,1,1,3,4,0,2
29,3,4,4,1,1,1,4,0,2
44,4,1,3,1,1,3,3,1,0
49,8,1,2,1,1,3,1,1,0
32,2,4,4,1,0,3,4,0,1
33,5,4,4,1,1,3,3,0,2
35,5,4,4,1,0,1,3,0,1
17,1,4,4,1,1,2,4,0,1
44,6,3,4,1,1,3,2,0,1
31,2,3,4,1,1,3,3,0,0
24,2,3,3,1,1,3,3,0,2
25,3,3,4,1,1,2,3,0,1
41,4,4,4,0,0,2,4,0,1
30,4,4,1,1,1,3,3,0,1
30,4,1,2,1,1,4,1,0,0
35,3,2,4,0,0,3,4,1,1
29,2,4,4,1,1,3,4,0,1
33,0,1,2,1,0,3,3,0,0
33,3,4,4,1,1,3,4,0,1
37,2,2,3,0,0,3,3,0,0
40,1,3,3,1,0,3,3,0,0
40,6,2,2,1,1,2,2,1,0
23,0,4,4,0,1,2,4,0,0
22,2,2,4,1,1,3,2,0,2
21,1,4,4,1,1,3,3,0,0
34,2,4,4,1,0,1,4,0,0
37,4,4,4,1,1,3,2,0,2
39,2,1,2,1,0,2,4,0,2
42,8,3,3,1,1,4,3,0,0
34,4,2,4,1,1,3,3,0,2
36,2,2,3,1,1,3,2,1,0
21,1,1,2,1,0,3,4,0,0
32,4,2,3,0,1,2,4,0,0
20,0,3,4,1,1,3,3,0,0
24,2,4,4,1,1,3,3,0,2
25,2,4,4,1,1,2,4,0,2
35,4,4,4,1,1,1,4,0,1
22,1,3,4,1,0,1,4,0,2
48,5,1,3,1,1,3,2,0,0
21,2,3,4,1,1,3,3,0,2
34,4,3,4,0,1,3,1,1,0
33,3,4,4,0,0,2,4,0,2
37,7,4,4,1,1,1,4,0,1
27,1,4,4,1,1,1,2,0,0
31,6,1,1,1,1,3,2,0,0
33,6,3,4,1,1,3,2,0,2
35,6,2,3,1,0,3,2,0,2
22,1,4,4,1,0,2,2,0,1
17,1,3,3,1,1,2,4,0,2
46,4,4,4,1,1,1,4,0,1
46,9,1,2,1,0,3,4,1,2
30,4,3,4,0,1,2,3,0,0
34,3,4,4,1,0,3,4,0,1
28,3,4,4,0,1,1,4,0,0
32,0,3,4,1,1,3,4,0,0
39,2,3,4,1,1,1,3,0,2
22,2,3,3,1,1,3,1,0,2
30,3,3,4,1,1,3,3,0,2
27,1,2,4,1,1,3,3,0,2
41,3,4,4,1,0,2,3,0,1
37,5,2,3,1,1,4,2,0,2
43,5,4,4,0,1,1,4,0,1
41,9,1,4,1,1,2,1,0,2
35,5,3,4,1,0,1,3,1,1
34,6,4,4,1,1,2,2,0,2
28,3,2,3,1,1,3,4,0,2
43,4,3,3,1,1,2,4,0,0
32,4,2,3,1,0,2,2,0,2
39,2,1,2,1,1,3,1,1,0
46,6,4,4,1,1,1,4,0,0
31,5,3,4,1,1,3,1,0,2
20,0,4,4,0,0,2,4,0,0
34,4,1,3,1,0,3,4,0,0
48,7,4,3,1,0,2,4,0,1
38,3,4,4,0,0,3,3,1,2
18,1,3,4,1,1,3,1,0,0
44,4,3,4,1,0,1,3,0,0
34,2,4,4,1,0,1,3,0,0
32,0,2,4,1,0,3,4,0,0
47,4,4,4,1,1,1,4,0,0
36,4,3,3,1,1,1,3,0,1
33,2,4,4,0,0,1,3,0,1
42,8,4,4,0,1,1,4,0,1
30,4,2,2,1,1,2,4,0,2
45,3,1,3,1,1,3,2,0,2
36,3,4,4,0,1,1,3,0,1
31,3,4,4,0,0,4,4,0,1
27,3,2,3,1,1,3,4,0,0
34,3,2,3,0,1,3,2,1,2
44,1,4,4,1,0,1,4,0,0
47,7,1,1,1,1,2,3,1,0
42,2,2,4,1,1,3,4,0,0
39,3,4,4,0,1,1,4,0,1
21,4,1,3,1,1,3,2,0,0
20,2,2,2,1,1,3,2,1,2
32,4,4,4,1,0,1,4,0,2
26,1,4,4,1,1,1,4,0,0
41,5,4,4,0,1,2,4,0,1
24,2,4,4,1,0,1,3,0,1
44,3,2,1,1,0,3,2,0,0
35,0,1,3,1,1,2,2,1,0
39,6,3,4,1,1,1,4,0,0
21,3,3,4,1,1,1,4,0,1
45,4,4,4,1,1,1,4,0,1
29,1,4,4,1,0,2,4,0,1
19,2,4,4,1,1,1,4,0,2
21,1,3,2,1,1,3,1,1,2
23,2,3,4,1,1,3,4,0,0
31,3,4,4,1,1,1,4,0,2
36,4,4,4,1,1,1,3,0,2
44,2,1,2,1,1,3,1,0,0
35,3,4,4,1,1,1,4,0,2
38,12,1,2,1,1,2,3,0,0
25,4,2,3,1,1,3,3,0,2
39,5,4,4,1,1,2,4,0,1
30,1,2,4,1,0,3,4,0,1
26,3,2,3,1,1,3,1,0,0
47,7,2,2,1,1,2,2,0,0
40,4,4,4,1,1,1,4,0,1
28,1,2,4,1,0,3,4,0,0
38,6,2,2,1,1,3,4,0,0
42,3,4,4,1,0,1,4,0,1
25,3,2,4,1,1,1,3,0,2
28,1,3,4,0,1,2,2,0,0
26,3,4,4,1,1,3,4,0,2
24,1,4,4,1,1,3,3,0,0
24,3,3,4,1,1,1,4,0,2
47,5,4,4,1,1,3,2,0,2
31,4,2,2,1,1,3,3,0,2
28,0,3,4,1,0,3,4,0,0
27,3,3,3,1,1,2,2,0,2
24,2,3,4,1,1,2,4,0,0
44,9,3,3,1,1,1,1,0,1
36,4,4,4,0,0,1,4,0,1
33,3,2,4,1,1,2,4,0,2
46,4,4,4,0,1,1,4,0,2
33,6,2,2,1,0,3,4,0,1
26,2,2,3,1,1,3,3,0,0
22,0,4,4,1,0,1,4,0,0
38,3,2,4,1,1,1,3,0,0
47,1,1,1,1,1,3,4,0,0
33,0,4,4,1,0,3,3,0,0
28,2,1,4,1,0,2,3,0,0
34,5,4,4,1,1,3,4,0,1
34,4,4,4,1,1,2,4,0,1
31,3,4,4,1,1,4,4,0,2
22,1,3,4,0,0,1,4,0,2
34,8,2,2,1,1,2,2,0,1
18,1,3,4,1,1,3,3,0,0
22,0,1,2,1,1,2,4,0,0
24,1,3,3,1,1,3,2,0,2
34,4,3,4,1,1,1,3,0,2
21,1,1,3,1,1,3,3,1,2
47,1,4,4,0,1,1,4,0,0
19,0,2,3,1,0,2,2,0,0
23,2,4,3,1,0,2,3,0,2
40,3,3,4,1,0,1,4,0,2
26,1,3,4,0,1,2,2,0,0
45,0,3,4,1,1,1,3,0,0
21,2,4,4,1,1,2,3,0,2
24,2,3,4,1,1,3,3,0,2
21,1,4,4,1,1,1,4,0,1
32,4,4,4,1,1,2,3,0,1
36,4,4,4,1,1,1,4,0,0
22,1,2,3,1,1,2,1,0,0
36,4,4,4,0,1,2,4,0,1
47,0,2,3,1,0,1,3,0,0
19,2,2,2,1,1,3,1,0,0
23,2,2,4,1,1,1,4,0,0
27,2,3,4,1,1,1,3,0,2
24,3,1,2,1,1,3,2,0,2
38,9,4,3,1,1,3,3,0,2
33,2,4,4,1,1,2,4,0,2
27,2,2,3,1,1,3,3,0,0
25,3,2,4,1,1,1,4,1,1
47,8,4,4,1,1,1,4,0,1
39,3,4,4,0,0,1,4,0,1
22,0,4,4,1,1,1,3,0,0
29,0,3,2,1,1,2,2,0,0
39,6,2,2,1,1,2,4,0,0
31,2,4,4,0,1,1,4,0,2
22,2,4,4,1,1,3,4,0,2
27,1,2,4,1,1,1,4,0,2
22,1,4,4,1,1,1,3,0,1
21,3,2,1,1,0,3,1,1,2
30,3,3,3,1,0,3,2,0,2
27,5,2,2,1,1,3,1,0,2
30,7,1,1,1,1,2,3,0,0
21,1,3,3,0,1,3,2,0,2
39,3,4,4,1,1,1,4,0,1
30,2,2,3,1,0,2,4,0,0
47,4,1,2,1,1,2,2,0,0
27,3,4,4,1,1,1,3,0,1
45,1,1,2,1,0,3,3,0,0
16,1,2,3,1,1,3,1,0,2
47,4,2,2,1,1,3,1,0,0
35,8,2,3,1,1,3,3,1,0
25,2,4,4,1,1,3,2,0,0
34,2,3,4,0,1,2,3,0,1
36,3,4,4,0,1,2,4,0,2
23,1,4,4,1,1,3,4,0,1
28,2,3,4,0,1,3,3,0,1
46,6,2,3,0,0,3,4,0,2
37,4,4,4,0,0,2,4,0,1
34,3,4,4,1,1,1,4,0,2
25,1,4,4,1,0,1,4,0,1
22,1,2,2,1,1,3,1,1,0
28,1,4,4,1,1,1,3,0,2
45,1,4,4,1,1,1,3,0,0
38,1,4,4,1,0,1,4,0,0
22,0,3,3,1,1,2,2,0,0
34,3,4,4,0,0,3,3,0,0
46,3,4,4,0,0,1,4,0,1
47,5,4,4,1,1,1,3,0,2
47,5,3,2,1,1,4,4,0,0
20,2,3,3,1,1,2,4,0,2
45,7,3,3,1,1,3,4,0,1
36,6,3,2,1,1,3,2,0,1
23,1,4,4,1,0,2,4,0,0
24,2,3,3,1,1,3,3,0,0
39,3,4,4,1,0,1,4,0,2
34,3,3,4,0,0,3,4,0,2
34,3,2,3,1,0,3,2,0,0
49,0,2,3,1,1,1,2,0,0
47,2,1,2,1,1,2,3,1,0
28,2,3,4,1,1,2,3,0,2
25,1,1,3,1,1,4,2,0,0
42,10,3,3,1,1,3,3,0,0
26,3,2,4,1,1,3,4,0,0
25,1,4,4,0,1,1,4,0,2
29,1,3,3,1,1,3,3,0,2
49,4,4,4,1,1,3,4,0,0
39,1,3,1,1,1,2,3,0,0
23,2,2,3,1,0,3,2,0,2
22,0,4,4,1,0,2,4,0,0
21,1,3,3,1,1,3,1,0,2
40,6,4,4,1,1,1,3,0,1
32,4,3,4,1,1,1,4,0,0
33,3,3,3,1,1,3,3,0,2
39,4,4,3,1,1,3,4,0,2
35,9,1,2,1,0,3,1,0,1
23,1,2,2,1,1,2,4,0,2
35,7,1,3,1,0,2,3,1,1
27,1,2,2,1,0,3,2,1,0
30,2,2,2,1,1,3,2,0,2
16,1,3,4,1,1,3,3,0,0
43,2,4,4,1,1,1,4,0,2
29,2,3,4,1,1,3,4,0,0
38,7,3,4,1,1,3,2,0,2
32,6,3,3,1,0,3,3,0,1
