Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
24,1,4,4,1,1,2,3,0,2
21,0,2,4,1,1,2,2,0,0
32,2,4,4,1,1,2,3,0,0
40,5,3,4,1,1,1,2,0,2
20,1,4,3,1,1,3,4,0,2
37,6,4,4,1,0,3,4,0,2
41,3,3,4,0,1,2,4,0,1
32,4,3,3,1,0,3,3,0,1
29,1,4,4,1,1,1,3,0,0
23,1,4,4,1,0,3,4,0,1
30,6,2,2,1,0,2,3,0,2
35,6,3,4,1,0,2,2,0,0
25,1,2,4,1,1,2,2,0,0
29,2,3,4,1,1,1,4,0,1
37,3,3,4,1,1,1,3,0,1
25,1,4,4,0,1,2,3,0,0
35,2,4,4,0,1,3,4,0,0
37,3,4,4,1,1,3,4,0,1
31,3,4,4,0,1,2,4,0,1
43,8,3,3,1,1,1,3,0,2
41,5,2,2,0,1,2,2,0,0
35,2,4,4,1,0,1,4,0,1
31,2,3,3,1,0,2,3,0,0
19,1,4,4,1,1,2,3,0,1
34,5,1,2,1,1,3,4,0,1
48,6,4,4,0,1,2,4,0,1
28,0,4,4,0,0,1,4,0,0
22,3,3,4,1,1,2,3,0,2
32,1,2,3,1,1,3,3,0,0
43,3,4,4,0,1,1,4,0,1
26,2,1,1,1,1,3,4,0,1
26,1,2,3,1,0,4,4,0,0
25,1,4,4,1,1,1,3,0,0
38,1,4,4,1,0,1,4,0,0
22,0,4,4,1,1,1,4,0,0
36,6,3,4,1,1,2,4,0,0
32,4,3,2,1,1,2,2,1,0
36,6,4,4,0,1,1,2,1,2
29,2,3,3,1,1,3,2,0,2
44,11,1,1,1,1,4,1,1,0
32,4,3,4,1,1,3,2,0,2
24,2,4,4,1,1,1,4,0,2
31,2,4,4,1,1,3,2,0,0
34,3,3,4,0,1,1,4,0,1
49,4,3,4,1,1,3,4,0,1
24,2,2,3,1,1,2,1,0,2
32,1,4,4,1,1,1,4,0,0
47,7,1,2,1,0,3,2,0,0
41,5,4,3,1,0,3,4,0,2
36,3,4,4,0,1,3,4,0,2
29,4,2,4,1,0,2,4,0,2
23,3,4,3,1,1,3,3,0,1
48,5,4,4,1,1,1,4,0,0
25,2,1,2,1,1,2,1,0,2
33,1,2,3,1,1,3,4,0,0
25,1,2,3,1,0,4,4,0,1
32,4,1,3,1,1,2,2,1,0
35,5,1,2,1,1,2,2,1,2
31,0,3,4,1,0,2,3,0,0
39,8,3,3,1,0,1,4,0,2
29,2,2,3,1,1,3,1,0,0
24,3,1,2,1,1,3,2,0,2
19,1,4,4,1,1,2,4,0,2
30,4,1,3,1,1,3,4,0,2
42,12,1,3,1,1,3,3,0,0
29,5,3,4,1,1,1,2,0,2
44,7,4,4,1,1,3,2,0,1
26,1,4,4,1,1,1,4,0,0
21,1,2,2,1,1,3,2,0,0
32,4,4,4,1,1,1,3,0,2
25,2,4,3,1,1,3,3,0,2
25,2,2,3,1,1,3,1,0,2
44,5,3,4,1,0,1,4,0,2
48,6,1,1,1,1,2,3,1,0
49,5,4,3,1,1,2,3,0,0
24,2,4,4,1,1,3,3,0,0
28,3,3,4,1,1,1,4,0,1
44,2,1,2,1,1,2,4,0,0
35,5,3,4,1,1,1,4,0,2
37,4,2,3,1,1,2,3,0,0
31,4,2,2,1,1,3,3,0,0
42,10,3,4,1,0,3,2,0,0
45,3,4,4,1,1,1,4,0,2
27,0,3,4,1,0,3,3,0,0
45,1,1,3,1,1,2,3,1,0
30,4,2,4,1,0,1,4,0,0
22,2,1,2,1,1,3,4,0,2
34,7,2,3,1,0,3,3,0,0
25,3,2,2,1,0,3,1,0,0
48,3,3,4,1,1,2,3,0,2
30,2,3,3,1,1,2,3,0,1
27,0,3,4,1,1,3,3,0,0
48,4,4,4,0,1,1,4,0,0
25,1,4,4,1,1,1,4,0,2
31,4,4,4,1,0,3,4,0,2
33,4,2,3,1,1,2,3,0,2
29,2,2,4,1,1,3,2,0,2
36,2,4,4,1,1,2,4,0,1
37,6,3,3,1,1,2,2,0,0
26,2,4,4,1,0,1,4,0,2
26,3,4,4,1,1,1,4,0,0
43,13,2,4,1,1,2,3,0,1
41,7,4,4,1,1,2,4,0,1
30,5,3,3,1,0,3,4,0,0
43,1,1,2,1,1,3,4,1,0
35,6,4,4,1,1,1,4,0,2
17,0,2,2,1,0,3,2,0,2
31,1,4,4,1,1,1,4,0,1
44,4,2,4,1,1,3,3,0,1
20,1,2,3,1,1,2,1,0,2
27,4,4,4,1,1,1,2,1,2
20,2,3,4,1,1,3,2,0,0
24,5,2,3,1,1,3,3,0,2
26,1,4,4,1,0,2,3,0,1
23,3,1,2,1,1,3,2,1,2
43,6,4,4,1,1,1,4,0,1
37,5,4,4,0,0,2,4,0,2
32,4,3,3,1,1,2,1,0,2
21,1,4,4,1,1,3,4,0,0
49,0,1,3,1,1,3,3,1,0
29,4,3,4,1,0,1,3,0,2
32,5,3,2,1,1,3,3,0,2
27,4,1,2,1,1,3,1,1,0
47,8,1,4,1,1,3,3,0,0
44,1,3,4,1,1,1,3,0,0
31,7,2,3,1,1,3,3,0,2
35,2,3,3,1,0,2,2,0,0
48,3,4,4,0,1,1,4,0,1
33,4,3,4,1,1,3,3,0,2
48,4,1,3,1,1,3,3,1,0
21,0,1,3,1,0,3,4,1,0
38,5,2,4,0,1,2,2,0,0
45,3,4,4,1,1,1,4,0,1
30,1,4,4,1,0,3,2,0,2
22,3,1,2,1,1,3,1,1,2
28,3,2,3,1,1,2,4,0,2
27,1,4,4,0,0,1,4,0,1
38,1,1,2,1,1,2,4,1,0
20,1,2,2,1,1,3,2,0,2
22,0,3,4,1,0,3,4,0,0
29,2,2,4,1,0,4,4,1,0
35,6,2,2,1,0,2,2,1,2
26,1,4,4,1,0,1,4,0,0
44,4,4,4,0,1,2,3,0,2
24,3,2,3,1,1,2,3,0,0
27,3,4,4,1,1,1,4,0,1
33,5,3,4,0,1,3,3,0,1
40,6,4,4,0,0,1,4,0,1
22,2,3,4,1,1,2,4,0,2
25,2,1,4,1,0,3,3,1,0
47,6,4,4,1,0,1,4,0,1
31,6,3,3,0,1,3,1,0,2
40,1,3,4,1,1,1,2,0,0
44,0,1,3,1,1,2,3,0,0
48,7,4,4,0,1,1,4,0,1
31,1,3,3,1,0,3,4,0,0
30,2,2,4,1,1,3,4,0,0
38,4,3,3,0,0,3,2,1,0
35,5,4,4,1,1,1,4,0,1
24,3,4,3,1,1,3,3,0,2
45,6,1,2,1,1,3,3,1,0
36,4,3,4,0,0,2,4,0,1
29,2,4,4,1,0,1,3,0,1
46,5,2,2,1,1,2,4,0,2
29,3,4,4,1,0,1,4,0,2
47,1,4,4,1,0,1,3,0,0
37,6,3,3,1,1,3,3,0,2
37,1,4,4,1,1,1,4,0,0
35,5,4,4,1,1,2,4,0,1
21,0,3,4,1,1,1,3,0,0
44,7,4,4,1,1,2,4,0,1
23,1,3,4,1,1,2,3,0,2
48,8,1,1,1,1,1,1,1,0
41,3,1,3,1,0,2,4,0,0
34,2,4,4,0,1,1,4,0,2
37,2,4,4,1,0,3,3,0,1
41,1,2,4,1,1,2,3,0,0
20,2,3,4,1,1,3,3,0,0
37,5,3,4,1,0,2,4,0,2
37,3,4,4,0,1,3,4,0,2
28,4,4,4,1,1,3,4,0,2
28,0,2,4,1,1,3,1,0,0
42,3,2,2,1,1,3,4,0,0
41,5,1,4,1,0,2,4,0,2
38,3,3,4,1,1,3,2,0,2
27,3,3,3,1,1,2,3,0,2
27,4,3,3,1,1,2,4,0,0
35,5,3,4,1,1,1,4,0,2
47,7,2,2,1,1,2,4,0,1
30,2,4,4,1,1,1,4,0,0
37,9,2,3,1,1,3,3,0,2
31,4,4,4,1,1,3,3,0,1
27,1,2,4,1,0,1,1,0,0
36,3,4,4,1,1,1,4,0,1
21,3,3,4,1,1,3,1,0,2
31,3,4,4,1,0,1,4,0,2
42,6,4,4,1,1,1,3,0,1
25,2,4,4,1,1,2,3,0,2
26,2,4,4,1,1,3,3,0,2
37,7,3,4,1,1,3,4,0,0
42,9,3,2,1,1,3,3,0,0
39,10,2,3,1,1,3,4,0,0
37,3,4,4,0,1,3,4,0,1
39,1,4,3,1,0,2,2,0,2
45,3,2,3,0,0,2,4,0,2
29,1,1,2,1,1,3,3,0,2
25,3,2,2,1,1,3,3,0,0
38,10,2,2,1,1,3,2,0,0
30,5,1,1,1,1,2,2,0,0
34,1,4,4,0,0,2,3,0,0
29,4,3,3,1,1,3,4,0,2
26,4,3,4,1,1,2,4,0,2
27,2,4,4,1,1,1,3,0,1
46,5,3,1,1,1,3,2,0,0
33,1,4,4,0,0,3,4,0,0
33,2,4,4,1,1,1,4,0,0
37,6,4,4,1,1,1,4,0,2
45,2,3,4,0,1,3,3,0,2
42,1,4,4,1,1,2,4,0,0
42,5,4,4,0,1,2,4,0,2
32,6,2,2,1,1,2,3,0,2
24,2,2,2,1,1,3,1,1,0
48,2,2,4,1,1,1,3,0,0
37,3,4,4,1,1,1,4,0,1
26,2,4,4,1,0,1,4,0,1
24,4,1,3,1,1,3,3,0,2
46,9,3,4,1,1,3,4,0,2
26,2,2,3,1,1,3,3,0,2
21,0,3,4,1,1,2,3,0,0
43,5,3,3,1,0,3,3,0,2
22,1,3,4,1,1,4,4,0,1
23,2,2,4,1,1,3,3,0,0
22,1,4,4,0,1,3,1,0,2
26,3,3,3,1,0,2,4,0,0
30,2,1,3,1,1,3,4,0,2
37,0,3,4,1,1,3,4,0,0
25,3,4,4,1,1,1,2,0,0
21,1,3,3,1,1,3,3,0,2
23,2,4,4,1,1,3,4,0,2
37,4,4,4,1,1,1,4,0,1
26,2,4,4,0,1,1,4,0,1
28,0,3,4,1,1,3,2,0,0
29,4,3,4,1,0,1,3,0,0
43,5,4,4,0,1,1,4,0,2
47,2,4,4,1,1,1,4,0,0
25,3,3,4,1,1,1,1,0,0
39,5,1,1,1,0,3,1,1,0
20,1,4,4,1,1,1,4,0,0
47,2,3,3,1,1,2,4,0,0
37,3,2,4,1,1,2,3,0,2
31,2,3,4,1,1,1,4,0,0
43,5,4,4,1,1,1,4,0,2
34,4,1,4,1,1,3,4,1,2
41,6,4,4,0,1,1,4,0,1
43,8,1,2,1,0,3,1,0,0
26,3,3,4,1,1,3,2,0,0
44,3,4,4,1,0,1,4,0,1
32,3,2,4,1,1,3,4,0,2
36,3,3,3,0,0,2,3,1,0
33,3,3,4,0,1,2,4,0,1
40,2,1,1,1,0,3,4,0,0
33,2,4,4,1,1,1,3,0,0
47,4,1,1,1,1,2,2,0,0
20,1,2,3,0,1,3,2,0,0
36,2,2,4,1,0,2,4,0,0
42,4,1,4,1,1,1,3,0,0
42,6,4,4,1,1,1,3,0,1
44,5,4,4,1,0,1,4,0,1
33,5,2,3,1,0,2,1,0,1
24,1,4,4,1,1,2,2,0,0
16,1,2,4,1,1,3,4,0,0
30,3,3,4,1,1,3,4,0,2
39,2,4,4,0,1,3,4,0,2
28,1,2,2,1,1,2,4,0,0
25,2,2,3,1,1,2,4,0,2
20,1,2,3,1,1,2,3,0,0
27,2,4,4,0,0,2,4,0,2
23,2,3,3,1,1,2,2,0,0
28,6,2,3,1,1,2,4,0,2
36,3,4,4,1,0,2,4,0,1
26,1,4,4,1,1,1,4,0,0
36,6,2,1,1,1,2,3,0,0
37,3,4,4,1,1,1,4,0,1
20,1,3,4,0,1,2,4,0,2
36,0,2,2,0,0,3,3,0,0
43,5,4,4,1,1,1,4,0,0
25,4,2,3,1,0,3,2,0,2
26,1,2,4,1,1,1,3,0,0
33,3,4,4,1,1,1,4,0,0
24,1,4,4,1,1,2,4,0,1
21,0,3,4,1,0,3,1,0,0
36,2,3,3,1,0,2,4,0,0
42,3,4,4,1,0,1,4,0,1
24,1,3,4,1,1,3,4,0,2
32,3,4,4,0,1,1,4,0,2
29,1,3,3,0,0,2,4,0,2
26,3,3,4,1,1,3,4,0,1
28,4,2,4,1,1,3,4,0,2
44,4,4,4,1,1,1,4,0,1
37,8,2,2,1,1,2,3,0,0
25,2,3,3,1,1,2,3,0,2
33,2,2,2,1,1,3,4,0,2
43,4,1,3,1,1,1,4,0,1
37,2,1,2,1,1,2,2,1,0
26,3,2,4,1,1,1,3,0,2
29,2,3,4,1,1,1,3,0,0
45,7,2,2,1,1,3,1,1,0
49,6,4,4,0,0,1,4,0,0
38,3,2,3,1,1,2,4,0,2
36,6,1,3,1,1,3,2,0,2
26,0,4,4,1,1,3,4,0,0
31,0,4,4,1,0,1,4,0,0
35,2,4,3,0,1,3,4,0,2
25,2,3,4,1,0,2,4,0,2
32,6,1,2,0,1,2,3,0,2
32,5,2,4,1,1,2,3,0,0
40,4,4,4,1,1,1,3,0,1
28,4,4,4,1,1,1,3,0,1
21,1,4,4,1,1,2,1,0,1
44,5,4,4,0,1,2,4,0,0
47,2,1,2,1,1,2,4,0,0
48,5,3,4,1,1,2,3,0,0
40,6,1,2,1,1,3,1,1,0
23,4,3,4,1,1,3,1,1,0
35,2,4,4,1,1,2,4,0,2
37,3,4,4,1,0,1,4,0,2
28,3,3,4,1,1,1,4,0,2
27,2,3,3,1,1,3,4,0,1
24,5,3,4,1,1,1,2,1,1
29,0,4,4,1,0,2,4,0,0
33,2,3,4,1,1,1,4,0,1
23,1,4,4,1,0,3,3,0,0
23,2,4,4,1,0,3,3,0,0
22,3,2,2,1,0,3,3,0,2
24,1,2,4,1,1,3,1,0,0
42,3,4,4,1,0,1,4,0,0
35,4,1,2,1,0,4,4,0,2
25,4,3,1,1,1,3,1,0,1
30,4,4,3,1,1,3,3,0,2
22,1,4,4,1,1,3,3,0,2
46,10,4,4,1,1,1,3,0,0
48,11,3,4,1,1,1,4,0,0
46,11,3,2,1,0,2,2,1,0
23,1,3,3,1,0,2,4,0,0
33,8,3,4,1,1,3,4,0,2
35,4,4,4,1,1,1,4,0,2
34,2,4,4,0,0,2,4,0,2
44,2,3,4,1,1,1,4,1,0
28,3,4,4,0,0,1,4,0,0
38,6,1,2,1,1,2,1,1,0
29,3,4,4,1,1,3,2,0,1
27,5,2,2,1,1,3,3,0,2
29,3,2,3,1,0,3,2,0,2
24,1,4,4,1,1,1,3,0,2
21,2,3,3,1,1,2,2,0,0
25,1,3,3,1,1,3,1,0,0
25,3,3,3,1,1,3,2,0,2
25,1,2,3,1,1,3,1,0,2
36,3,4,4,1,1,1,4,0,2
41,2,4,4,1,1,1,4,0,0
37,0,1,3,1,1,3,4,0,0
25,0,4,4,0,1,2,4,0,0
25,1,4,4,1,1,1,4,0,1
49,1,4,4,1,1,3,4,0,0
31,2,4,4,1,1,1,2,0,0
30,3,2,3,1,1,3,3,0,2
28,3,3,3,1,1,1,2,0,1
25,2,4,4,1,1,1,3,0,2
43,6,4,4,1,1,1,3,0,0
47,4,4,4,1,1,1,4,0,0
31,2,3,3,1,0,3,3,0,1
38,1,2,2,1,0,3,2,0,0
25,1,3,3,1,1,3,4,0,0
33,3,4,4,0,1,2,4,0,1
22,2,3,3,1,1,3,3,0,1
39,5,2,2,1,0,3,2,1,0
21,1,3,3,1,1,3,2,0,2
25,2,4,4,1,1,1,2,0,2
25,0,3,3,1,1,3,4,0,0
29,0,4,2,1,0,2,2,0,0
34,2,4,4,1,1,3,3,0,2
44,3,4,4,1,1,1,4,0,1
47,3,3,4,1,1,2,3,0,0
42,12,1,3,1,1,2,4,0,0
31,3,3,3,1,1,3,1,1,2
30,5,2,3,1,0,3,4,0,2
21,1,3,4,1,1,2,3,0,0
33,5,4,4,1,1,2,4,0,1
29,7,1,2,1,1,2,4,0,0
26,3,2,4,1,1,3,4,0,2
25,3,3,4,1,1,3,4,0,2
28,2,2,3,1,1,3,3,0,1
40,3,4,4,0,1,3,4,0,0
30,4,3,4,1,1,3,3,0,2
41,3,3,4,0,1,2,4,0,0
27,3,4,4,1,1,3,4,1,2
27,2,3,4,1,0,2,2,0,0
38,4,1,3,1,0,2,2,0,0
30,4,3,3,1,0,2,2,0,2
30,1,4,4,1,0,1,4,0,0
22,1,4,4,1,1,1,2,0,1
17,1,2,2,1,1,3,2,0,2
39,5,2,1,1,1,2,1,1,0
27,3,2,2,1,1,2,2,1,2
41,5,4,4,1,1,1,4,0,2
40,8,2,4,1,1,3,3,0,0
45,1,4,4,1,1,1,4,0,0
19,2,3,3,1,1,3,2,0,0
23,1,4,4,1,1,2,3,0,0
29,5,1,3,1,1,3,3,0,2
42,4,4,4,0,0,2,4,0,1
34,6,3,3,1,1,1,4,0,2
44,7,1,2,1,1,3,4,0,0
31,1,3,2,1,1,3,4,0,0
28,2,4,3,1,1,3,2,0,2
47,4,4,3,1,1,1,3,0,2
31,3,3,4,0,0,2,4,0,0
36,3,4,4,1,1,2,4,0,2
23,2,4,4,1,0,2,4,0,2
37,4,2,4,1,0,2,3,0,2
25,2,4,4,0,1,1,3,0,1
34,0,4,3,0,0,3,3,0,0
32,3,4,4,0,1,3,3,0,1
32,4,4,4,0,0,2,4,0,1
49,8,2,2,1,0,3,1,0,0
18,1,3,3,1,1,2,2,0,2
23,2,3,3,1,1,3,3,0,0
30,2,4,4,0,0,3,3,0,2
29,3,3,3,1,0,2,4,0,0
31,4,2,2,1,1,4,3,1,1
29,2,4,4,1,1,1,4,0,1
26,3,2,2,1,1,2,1,0,0
24,1,4,4,1,1,3,4,0,1
49,13,4,3,1,1,1,4,0,2
27,3,2,4,1,1,4,4,0,2
19,0,4,4,1,1,3,3,0,0
45,1,4,4,1,0,3,3,0,0
42,5,4,4,1,1,1,4,0,1
39,1,3,4,0,1,3,4,0,0
20,0,3,4,1,0,2,4,0,0
21,3,2,4,1,1,3,2,0,0
26,1,4,4,1,0,1,3,0,1
26,2,3,3,1,0,2,2,0,2
25,3,3,3,1,1,3,3,0,2
26,0,2,4,1,1,4,1,0,0
27,5,3,2,1,1,2,4,0,1
27,4,3,4,1,1,3,4,0,2
37,2,3,3,1,1,1,4,0,0
44,11,4,4,1,1,1,4,0,2
37,2,4,4,0,1,1,4,0,0
26,1,4,4,0,1,2,4,0,1
34,2,4,4,1,1,1,4,0,2
25,0,4,4,1,0,2,4,0,0
39,3,4,4,1,1,1,4,0,1
39,4,4,4,0,1,1,4,0,1
35,6,1,2,1,1,2,2,1,2
28,2,4,4,1,1,1,4,0,2
23,0,3,2,1,1,2,2,0,0
26,1,4,4,1,1,3,3,0,2
38,6,2,3,1,1,3,2,0,0
42,5,3,3,1,1,2,2,0,0
34,4,4,4,1,1,2,3,0,0
27,1,2,3,1,0,3,4,0,0
41,4,1,4,1,1,3,3,0,0
28,1,4,4,1,1,3,2,0,2
28,5,1,3,1,1,3,4,0,2
35,6,2,3,1,1,2,3,0,2
40,3,3,3,1,1,2,2,1,0
49,9,3,4,1,1,1,4,0,0
24,1,4,4,0,1,2,3,0,1
21,1,4,4,1,1,3,1,0,2
34,9,2,2,1,0,2,3,0,0
32,4,4,4,1,0,1,3,0,0
22,4,2,4,1,1,3,4,0,0
26,2,3,4,1,1,3,3,0,2
39,2,4,4,0,1,1,3,0,2
26,2,3,4,1,1,1,3,0,2
21,0,2,2,0,1,4,4,0,2
28,1,3,4,1,1,3,4,0,0
26,2,2,4,1,1,1,3,0,1
32,2,4,4,1,0,1,3,0,2
26,3,3,3,1,1,3,3,0,2
19,1,3,3,1,1,2,1,0,2
21,1,3,3,1,1,2,2,0,2
19,1,4,4,1,1,3,2,0,2
35,1,3,4,0,1,2,3,0,0
45,9,2,2,1,1,3,3,0,1
33,5,3,3,1,1,3,4,0,1
27,4,4,4,1,1,3,3,0,2
25,4,3,3,1,1,3,2,0,0
28,3,3,3,1,0,2,4,0,2
44,8,4,2,1,1,3,3,0,0
30,3,3,4,0,1,3,3,0,2
