Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
35,5,4,4,0,0,1,4,0,1
28,2,3,3,0,1,2,3,0,2
19,1,4,4,1,1,1,3,0,2
27,4,2,4,1,1,1,4,0,0
30,5,2,3,1,1,3,1,1,1
25,0,2,3,1,1,2,1,0,0
27,2,4,4,1,1,1,4,0,2
30,3,3,4,1,1,2,3,0,2
41,5,3,4,1,1,1,3,0,1
27,1,4,4,1,0,3,3,0,1
30,4,3,3,1,0,3,2,0,2
20,0,2,4,1,1,3,2,0,0
47,4,4,4,0,1,2,4,0,1
33,2,2,2,1,1,3,1,0,0
26,4,4,3,1,1,2,3,0,0
35,2,4,4,0,1,3,3,0,0
28,5,3,3,1,1,3,3,0,0
32,4,4,4,1,1,2,4,0,1
28,5,4,4,1,1,1,4,0,0
21,1,2,2,1,1,3,2,0,1
39,3,3,4,1,1,1,4,0,0
32,3,4,4,1,0,1,4,0,2
28,2,4,4,0,1,2,4,0,2
26,3,2,3,1,1,3,4,0,0
41,5,3,3,1,1,1,4,0,1
30,0,4,4,0,0,3,3,0,0
29,5,2,3,1,1,2,4,0,2
23,2,4,4,1,1,2,4,0,0
28,2,4,4,1,1,1,3,0,0
27,2,3,4,1,1,3,2,0,2
33,3,4,4,1,1,3,3,0,1
40,1,3,3,0,1,3,4,0,0
38,5,2,4,1,1,3,3,0,0
26,3,3,4,1,1,3,3,0,2
48,4,4,4,0,1,1,4,0,1
35,5,3,4,1,0,2,2,0,0
37,8,4,3,1,1,1,4,0,1
32,3,4,3,1,1,2,4,0,2
44,3,4,4,1,0,1,4,1,0
32,1,4,4,1,0,1,3,0,0
29,2,4,4,1,0,1,3,0,1
33,8,3,3,1,1,3,4,0,2
48,7,1,1,1,1,2,4,0,0
41,4,4,4,0,0,2,4,0,1
17,1,3,4,1,1,3,3,0,2
25,1,3,3,1,1,3,1,0,1
23,2,3,3,1,0,3,4,0,1
38,2,4,4,1,0,1,4,0,2
40,4,2,2,0,0,2,4,0,2
21,1,3,3,1,0,3,2,0,0
38,3,4,4,0,0,2,4,0,1
33,3,4,4,0,0,1,3,0,0
31,3,3,3,1,1,2,1,1,2
36,7,3,4,1,1,2,2,0,1
31,5,2,4,1,1,3,2,0,0
35,0,2,3,1,1,2,4,0,0
45,11,2,3,1,1,2,3,0,0
28,4,1,2,1,1,2,3,0,2
23,3,4,4,1,1,3,3,0,2
22,1,2,4,1,1,2,4,0,0
43,3,4,4,1,1,1,4,0,2
26,3,4,4,1,1,3,2,0,2
42,4,3,3,1,1,2,4,0,1
29,4,2,4,1,1,3,2,0,2
38,2,3,4,0,1,2,4,0,0
41,7,3,3,0,1,2,4,0,2
27,1,3,3,1,0,3,4,0,1
49,6,1,3,1,1,2,4,0,0
30,7,2,3,1,1,3,3,0,2
30,2,3,4,1,1,1,2,0,2
22,0,4,4,1,1,2,4,0,0
30,3,4,4,1,1,2,1,0,1
25,1,3,3,1,1,2,1,0,2
33,3,2,4,1,1,3,4,0,2
41,5,3,3,1,1,3,4,0,0
46,4,3,4,1,0,3,4,0,2
38,8,2,2,1,1,2,2,0,1
37,3,4,4,1,1,2,4,0,2
22,2,3,3,1,1,3,4,0,0
33,2,4,4,1,0,2,4,0,2
25,1,2,2,1,1,3,1,0,2
17,1,3,4,1,1,2,1,0,2
24,1,4,4,1,1,1,4,0,2
25,2,3,2,1,1,3,2,0,0
23,0,4,4,1,0,1,4,0,0
32,3,4,4,0,1,1,4,0,2
45,6,3,3,0,1,2,4,0,1
20,1,3,3,1,1,2,3,0,0
38,6,4,4,1,1,3,3,0,1
27,2,4,4,1,0,1,4,0,0
21,1,4,4,0,1,2,4,0,2
32,4,1,3,1,1,3,3,0,2
36,4,4,4,0,1,1,4,0,1
24,1,4,4,1,1,1,4,0,1
42,7,4,4,1,1,2,4,0,2
42,6,2,4,1,1,2,4,0,2
22,1,4,4,1,0,2,4,0,2
44,6,4,4,0,1,1,3,0,1
49,6,4,4,1,1,1,2,0,0
21,2,3,3,1,1,2,3,0,2
35,0,1,2,1,0,4,4,0,0
20,1,2,3,1,1,2,4,0,0
47,7,1,4,1,1,2,3,0,0
28,0,4,4,0,1,1,3,0,0
38,6,4,4,1,1,2,4,0,2
23,1,3,2,1,1,3,3,0,2
20,3,2,3,1,1,3,4,0,0
19,0,2,2,1,1,2,2,0,0
45,6,2,3,1,1,3,2,1,0
33,4,4,4,1,1,2,3,0,2
27,2,3,4,1,1,1,3,0,0
28,2,4,4,1,1,1,3,0,1
39,1,3,3,0,1,3,4,0,0
24,2,2,4,1,1,3,4,0,0
40,2,3,4,0,1,3,4,0,1
34,2,2,3,1,1,3,3,0,1
32,7,3,4,0,1,1,3,0,1
21,1,4,4,1,1,1,4,0,1
29,3,2,3,1,1,3,3,0,2
32,4,2,4,1,1,3,2,0,0
48,3,4,4,1,1,2,4,0,0
37,11,3,3,1,1,1,2,0,2
42,7,4,3,1,0,1,4,0,1
24,2,3,4,1,1,2,2,0,0
21,1,4,4,1,1,1,4,0,0
29,0,4,4,1,0,2,4,0,0
32,4,1,4,1,1,3,2,0,2
28,1,4,4,1,1,2,4,0,2
31,0,4,4,0,0,2,4,0,0
25,3,2,4,1,1,3,2,0,2
30,3,2,3,1,1,3,1,0,0
30,0,4,2,1,0,3,3,0,0
30,0,4,4,0,0,1,3,0,0
36,5,1,1,1,1,3,3,0,2
26,2,3,3,1,1,3,2,0,1
35,4,4,4,1,1,1,4,0,2
45,4,4,4,1,1,2,3,0,0
36,2,4,4,1,1,3,3,0,0
34,4,3,4,1,1,3,3,0,1
26,2,2,4,1,1,1,4,0,1
42,2,2,3,1,1,1,4,0,0
23,1,4,3,1,1,2,2,0,2
38,2,4,4,1,1,1,4,0,1
23,1,4,4,1,1,3,3,0,1
22,0,4,4,1,1,2,1,1,0
24,2,3,3,1,0,3,2,0,0
23,4,2,4,1,1,3,3,0,0
21,1,2,2,1,1,4,3,0,2
25,1,1,4,1,1,2,1,0,0
47,1,4,4,1,1,1,4,0,0
33,3,2,2,0,0,2,4,0,0
27,1,4,4,0,1,3,4,0,0
31,5,4,4,1,0,1,4,0,2
36,3,4,4,1,1,1,4,0,1
42,9,1,3,1,1,3,2,1,0
47,10,1,1,1,1,3,3,0,1
36,3,4,4,1,1,1,4,0,1
36,3,4,4,1,0,1,4,0,1
32,5,3,4,0,1,1,4,0,2
22,1,4,4,1,1,2,3,0,2
21,0,2,3,1,1,3,4,0,0
45,3,3,4,1,1,1,4,0,0
43,8,1,2,1,1,2,2,1,0
20,2,2,2,1,1,2,2,1,0
31,2,3,4,1,1,1,2,1,0
29,1,3,4,0,1,2,3,0,0
21,1,3,4,1,1,3,2,0,2
19,1,2,4,1,1,2,3,0,2
45,6,3,4,1,1,2,4,0,0
33,3,4,4,1,1,1,4,0,2
35,4,4,4,0,1,3,3,0,1
41,1,4,4,1,1,3,3,0,2
37,1,3,4,1,1,2,4,0,0
28,1,4,4,0,1,1,3,0,0
28,2,2,1,1,0,3,3,0,1
40,4,4,4,1,1,1,4,0,2
18,0,3,4,1,0,3,1,0,0
45,0,3,4,1,1,1,3,0,0
37,3,4,4,1,1,2,4,0,2
32,4,1,2,1,1,3,2,1,0
25,1,3,3,1,0,2,4,0,0
47,4,4,4,1,0,1,4,0,1
25,6,2,4,1,1,3,4,0,1
30,2,4,4,1,1,1,4,0,2
32,5,2,4,1,1,3,4,0,2
32,1,2,2,1,1,2,1,0,0
22,0,2,1,1,1,2,2,0,0
44,5,4,4,1,1,1,4,0,1
33,4,3,4,1,0,2,4,0,2
37,4,3,4,1,0,2,4,0,0
38,2,3,3,0,1,3,4,0,2
24,1,2,4,1,0,4,4,0,0
39,6,3,3,1,1,3,3,0,0
27,1,3,3,0,0,2,4,0,1
34,4,3,4,1,1,1,3,0,0
37,4,4,4,1,1,1,4,0,1
21,2,2,4,1,1,3,1,0,0
24,1,3,4,1,0,3,3,0,0
32,3,4,4,1,0,1,4,0,2
28,2,4,4,0,1,1,4,0,1
33,5,4,4,1,1,3,3,0,0
27,4,1,2,1,1,1,4,1,0
26,1,4,4,0,0,2,4,0,2
36,9,3,4,1,1,3,4,0,2
38,2,4,4,1,1,3,4,0,2
31,3,3,4,1,0,3,2,0,0
49,5,1,2,1,0,2,2,1,0
46,7,1,2,1,1,3,1,1,0
26,0,2,4,1,1,3,1,0,0
24,1,4,4,1,0,1,4,0,2
36,4,2,3,1,1,3,1,1,0
25,2,2,4,1,1,2,4,0,2
20,2,3,4,1,1,1,3,0,2
24,1,1,4,1,0,4,2,1,1
36,7,2,2,1,0,2,2,1,2
25,2,4,4,1,1,2,4,0,1
22,1,4,4,1,1,2,4,0,2
45,1,4,4,1,1,1,4,0,0
34,4,2,2,0,1,3,2,0,2
30,1,1,3,1,1,3,4,0,0
33,2,4,4,0,0,1,3,0,2
29,3,4,4,1,1,3,4,0,2
47,5,2,1,0,1,2,4,0,0
48,4,1,3,1,1,3,4,1,0
25,1,3,3,1,1,2,2,0,0
41,4,4,4,1,0,1,4,0,1
37,5,2,3,1,0,3,2,0,0
22,3,4,4,1,1,3,2,0,2
36,3,4,4,0,1,2,4,0,1
31,4,1,2,1,1,3,3,0,2
31,3,4,4,1,1,1,4,0,1
28,3,3,4,1,1,2,1,0,0
33,5,4,4,1,1,3,4,0,0
20,1,3,4,1,1,2,4,0,1
34,4,4,4,1,1,3,3,0,1
29,4,3,3,1,1,3,4,0,2
37,5,4,4,1,1,3,4,0,1
28,1,2,3,1,1,3,1,0,0
41,8,4,4,1,1,1,4,0,1
27,1,4,4,1,1,1,4,0,2
36,8,3,3,1,1,3,2,0,0
21,0,2,3,1,1,3,4,0,0
28,1,4,4,0,1,2,4,0,0
49,7,4,4,0,1,2,4,0,0
25,1,4,4,1,1,3,4,0,0
19,0,4,4,0,1,3,4,0,0
47,2,1,2,1,0,1,3,0,0
26,2,3,4,1,1,3,3,0,1
32,2,3,3,1,0,3,4,0,1
31,3,4,4,1,0,2,3,0,0
43,2,3,4,1,0,2,4,0,1
43,2,3,4,0,1,3,4,0,0
36,4,1,2,1,1,3,1,1,2
34,6,2,4,1,0,3,4,0,0
44,9,1,4,1,1,1,2,0,0
25,1,3,3,1,1,3,2,0,0
40,6,2,3,1,1,1,2,0,1
33,5,4,4,1,1,1,4,0,2
26,1,3,4,1,0,4,1,0,0
25,1,4,4,1,1,1,4,0,2
22,2,3,4,1,1,3,3,0,0
27,5,2,3,1,1,2,1,0,0
45,0,4,4,1,1,2,4,0,0
49,6,3,4,1,1,1,4,0,0
40,2,4,4,1,1,3,4,0,0
25,1,3,2,1,0,3,3,0,0
27,1,2,4,1,0,1,3,0,0
25,1,2,2,1,1,3,3,0,2
29,3,1,4,1,1,4,4,1,2
42,11,1,4,0,1,2,2,1,0
43,2,3,3,0,0,3,4,0,2
20,1,3,4,1,1,3,2,0,0
29,3,4,4,1,1,1,4,0,1
22,0,4,4,1,1,1,1,0,0
48,8,2,3,1,1,1,4,0,0
30,2,4,4,1,0,2,2,0,2
29,0,4,4,1,0,1,4,0,0
30,3,2,4,1,1,3,4,0,1
48,8,1,1,1,0,2,2,1,0
26,1,2,3,1,0,3,4,1,0
26,1,4,4,1,1,1,3,0,0
25,1,4,4,0,1,3,3,0,2
41,6,1,2,1,1,3,3,0,2
37,5,2,4,1,1,1,4,0,2
22,0,2,1,1,1,3,2,0,0
42,7,2,3,1,1,3,4,0,1
36,5,3,3,1,0,1,3,0,1
23,3,2,3,1,1,2,3,0,2
39,3,4,4,1,1,2,4,0,2
19,1,3,4,1,1,2,3,0,0
30,0,4,4,1,0,1,4,0,0
48,7,4,4,1,0,1,4,0,1
25,3,4,4,1,1,3,3,0,2
24,4,2,2,1,1,3,4,0,0
47,5,2,3,1,1,1,1,0,0
22,1,4,3,1,1,2,2,0,2
26,3,1,2,1,0,3,2,0,2
40,3,2,4,0,1,3,4,0,2
27,4,2,4,1,1,2,1,0,2
35,3,4,4,1,1,1,4,0,0
48,3,3,4,1,1,3,1,0,0
20,2,3,3,1,1,2,2,1,2
45,10,1,3,1,1,3,4,0,0
26,3,3,4,1,1,3,2,0,2
45,8,2,4,1,1,2,3,0,0
19,1,4,4,1,1,1,3,0,0
27,5,3,3,1,1,2,4,0,2
21,1,4,4,1,1,1,3,0,1
40,6,3,4,1,1,1,3,0,2
20,1,2,3,1,1,3,4,0,0
26,4,3,4,1,1,2,3,0,2
35,3,4,4,0,1,1,4,0,0
21,0,3,3,1,1,2,2,0,0
32,5,3,4,1,1,1,2,0,1
34,6,2,4,1,1,3,3,0,2
34,8,3,2,1,0,2,3,1,0
33,6,3,3,1,1,3,4,0,1
38,3,4,4,1,0,1,4,0,1
21,1,2,3,1,0,3,2,0,2
33,5,4,3,1,1,2,4,0,1
38,2,3,4,1,1,2,3,0,0
22,2,3,2,1,1,2,1,0,2
43,5,4,4,1,1,1,3,0,0
45,1,4,4,1,0,1,4,0,0
26,2,2,3,1,1,2,3,0,2
38,5,4,4,1,1,2,3,0,2
45,8,3,3,1,1,2,3,0,1
24,4,3,4,1,1,3,1,0,2
25,0,4,4,1,0,3,4,0,0
34,2,4,4,1,1,1,4,0,1
34,7,2,4,1,1,2,3,0,2
35,3,4,4,1,1,2,3,0,1
37,1,4,4,0,1,1,4,0,2
25,3,3,3,1,1,2,1,0,2
49,5,3,4,1,1,1,4,0,0
28,0,1,4,1,0,4,1,0,0
45,0,1,1,0,0,2,1,0,0
37,4,3,4,0,1,2,4,0,2
24,2,2,3,1,1,3,1,0,0
44,4,4,4,1,0,2,3,0,1
22,3,3,3,1,1,3,3,0,2
38,4,4,4,1,1,2,4,0,1
24,1,4,4,1,0,1,4,0,1
22,0,2,4,1,1,3,3,0,0
30,4,2,2,1,1,2,1,0,2
39,4,4,4,1,0,1,4,0,1
30,7,2,2,1,1,3,4,0,1
30,2,3,4,1,1,1,4,0,1
34,6,3,3,1,1,3,4,0,1
25,3,3,4,1,1,2,4,0,2
27,2,4,4,1,1,3,4,0,2
35,3,3,4,1,1,2,2,0,1
48,8,3,4,1,0,1,4,0,2
41,10,1,3,1,1,2,3,1,0
24,3,2,2,1,1,2,4,0,0
24,4,3,4,1,1,2,3,0,2
36,8,2,4,1,1,1,4,0,2
44,4,4,4,1,1,1,4,0,1
36,3,4,4,0,0,2,4,0,2
35,2,4,4,1,0,1,4,0,2
29,4,3,4,1,1,1,4,0,0
35,2,4,4,1,0,2,4,0,0
42,5,4,4,1,1,1,4,0,2
41,6,4,4,1,1,1,4,0,1
28,3,4,4,0,0,3,4,0,2
40,4,3,3,1,1,2,2,0,0
26,2,3,4,1,0,2,4,0,2
31,2,3,4,1,1,1,4,0,0
28,4,4,4,1,1,2,3,0,2
30,1,4,4,0,1,2,4,0,1
45,3,4,4,1,1,1,4,0,1
40,0,1,1,1,1,3,2,0,0
35,3,4,4,1,1,1,4,0,1
39,2,4,4,1,0,1,4,0,0
36,7,2,3,1,1,3,3,0,2
35,6,2,2,1,1,3,4,0,1
32,4,2,3,1,1,3,2,0,2
30,2,4,4,0,1,3,1,0,0
35,4,3,4,1,0,1,4,0,2
49,6,2,4,0,1,2,3,0,0
18,1,2,3,1,1,2,3,0,0
41,4,4,4,1,1,1,4,0,1
43,3,4,4,0,1,2,4,0,0
30,3,3,2,1,1,3,3,0,2
49,11,3,3,1,1,1,4,0,1
43,5,3,4,1,1,3,2,1,1
36,6,2,3,1,1,2,3,0,0
31,4,3,4,1,0,3,3,0,2
32,2,4,4,0,0,1,4,0,2
29,4,2,3,1,1,3,2,0,2
19,3,3,3,1,1,2,3,0,2
28,2,3,4,0,1,2,3,0,1
39,4,4,4,1,1,1,4,0,1
43,2,1,3,1,0,2,2,1,0
27,3,2,4,1,0,3,2,0,0
41,5,4,4,1,1,1,4,0,2
22,1,3,3,1,1,3,2,0,2
22,2,2,3,1,1,3,1,0,0
24,0,3,4,1,0,3,1,0,0
27,0,3,4,1,1,3,3,0,0
43,3,4,4,1,1,1,4,0,2
24,0,3,4,1,0,2,3,0,0
42,4,4,4,1,1,3,4,0,1
42,1,3,2,1,1,3,3,0,0
38,7,3,4,0,1,2,3,0,1
31,2,3,3,1,0,3,3,0,0
27,3,3,2,1,1,3,2,0,0
31,3,1,1,1,1,4,2,1,2
31,2,4,2,0,1,1,3,0,1
33,5,1,1,1,1,3,1,1,0
35,5,4,4,1,1,1,4,0,0
27,1,4,4,1,1,1,4,0,1
29,4,4,3,1,0,3,2,0,1
30,3,4,4,1,0,2,4,0,0
21,1,3,4,1,0,3,4,0,2
42,1,2,4,1,0,3,3,0,0
35,1,4,4,0,1,1,4,0,2
29,6,3,3,1,1,3,3,0,2
42,1,4,4,1,0,1,4,0,0
24,2,2,2,1,1,3,4,0,2
25,2,2,2,1,1,3,1,0,0
29,3,3,3,1,1,2,1,0,2
44,5,4,4,1,1,3,4,0,2
40,8,3,4,1,1,3,3,0,0
38,4,2,3,1,1,1,2,0,1
30,5,3,4,1,1,1,4,0,0
24,0,4,4,0,1,1,4,0,0
26,3,3,4,1,1,1,4,0,1
22,2,4,4,1,1,1,3,0,0
35,3,4,4,0,0,3,4,0,1
23,3,1,1,1,1,2,1,1,0
42,3,3,3,1,0,2,4,0,0
30,2,4,4,1,1,1,4,0,0
36,3,4,3,1,0,3,2,0,0
27,4,3,4,1,1,3,3,0,2
24,3,2,4,1,1,3,3,0,2
35,5,4,4,1,0,1,4,0,1
22,2,1,3,1,1,3,1,0,2
40,5,2,3,1,1,3,3,0,2
29,4,2,3,1,1,2,1,0,2
36,3,3,4,0,0,3,4,0,1
31,1,4,4,1,1,1,4,0,2
42,3,4,4,0,1,2,4,0,2
32,2,4,4,0,0,2,4,0,1
29,3,3,4,1,1,1,3,0,1
28,3,1,1,1,1,3,1,0,0
36,2,1,4,1,1,2,2,0,0
20,2,4,4,1,1,1,3,0,2
26,3,3,3,1,1,3,3,0,2
46,8,1,2,1,1,3,3,1,0
24,2,4,4,1,0,3,3,0,2
24,3,3,3,1,0,2,1,0,2
35,6,2,4,1,1,3,4,0,2
44,5,4,4,1,0,1,4,0,2
32,1,3,4,0,1,2,4,0,0
40,3,3,3,1,1,3,2,0,0
30,7,3,4,1,1,2,4,0,1
29,3,2,4,1,0,3,3,0,2
17,1,2,3,1,1,3,2,0,0
32,5,2,1,1,0,2,2,0,1
37,3,3,4,0,1,3,4,0,2
20,1,3,4,1,1,3,2,0,1
48,1,4,4,0,1,1,4,0,0
39,5,3,4,1,1,3,4,0,1
43,8,1,3,1,1,3,1,0,0
38,8,1,2,1,1,3,3,1,0
46,6,2,4,1,1,1,4,0,0
45,3,3,4,0,1,3,4,0,0
46,2,4,4,1,0,1,4,0,1
25,3,4,4,1,1,1,4,0,2
22,1,2,4,1,1,3,4,0,0
23,1,3,3,1,1,2,2,0,2
32,2,4,4,1,1,1,4,0,1
37,5,2,3,0,0,2,4,0,0
28,2,4,4,1,0,1,3,0,1
47,8,1,1,1,1,3,4,1,1
26,0,2,4,1,0,1,2,0,0
26,2,4,4,1,0,3,3,0,2
43,3,2,3,0,1,2,3,0,0
41,4,4,4,0,0,2,4,0,1
29,2,4,4,1,1,3,4,0,2
36,6,2,3,1,1,2,4,0,2
30,1,2,3,1,1,2,1,0,0
47,6,1,4,1,1,1,4,0,0
36,4,4,4,1,1,1,4,0,2
18,1,3,2,1,1,3,1,0,0
24,1,2,3,1,1,3,3,0,0
36,5,2,3,1,1,2,3,0,0
47,9,1,3,1,0,3,3,0,2
17,3,2,2,1,1,3,1,0,0
47,6,1,1,1,0,3,1,0,0
46,4,4,4,1,1,1,4,0,1
32,3,4,4,1,0,1,4,0,2
46,8,1,4,1,1,1,4,1,0
25,2,4,4,1,1,3,3,0,2
