N1,N2,N3,N4,N5,N6,N7,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,label
48,8487.0,1,2,24,1,1,0,3,4,4,1,0,2,0,1,1,1,0,1,1
11,3939.0,1,2,40,2,2,1,1,4,2,0,3,2,3,1,1,3,0,1,1
36,3535.0,4,4,37,2,1,3,1,4,2,1,3,2,0,1,1,1,1,1,1
21,571.0,4,4,65,2,1,1,1,4,2,3,3,2,3,1,1,1,0,1,1
18,3780.0,3,2,35,2,1,3,1,3,2,2,1,2,0,1,1,0,1,1,1
21,3160.0,4,3,41,1,1,3,3,6,4,3,3,2,1,1,1,1,1,1,1
24,2538.0,4,4,47,2,2,3,2,4,2,3,3,2,0,1,1,3,0,1,0
24,6579.0,4,2,29,1,1,1,3,9,2,4,3,2,2,1,0,0,1,1,1
48,6999.0,1,1,34,2,1,1,3,6,2,1,2,1,3,1,1,1,1,1,0
12,1995.0,4,1,27,1,1,0,1,4,0,2,3,2,0,1,1,1,0,1,1
12,717.0,4,4,52,3,1,3,1,6,2,3,3,2,3,1,1,1,0,1,1
36,3804.0,4,1,42,1,1,0,4,6,2,0,0,2,0,1,1,1,1,1,0
12,1223.0,1,1,46,2,1,0,3,4,2,3,1,2,3,1,2,1,0,1,0
12,2171.0,4,4,38,2,1,1,1,4,2,0,3,2,1,0,1,3,0,0,1
27,8613.0,2,2,27,2,1,3,2,9,3,0,3,2,0,1,1,1,0,1,1
12,2246.0,3,3,60,2,1,1,1,3,2,3,3,2,1,1,1,1,0,1,0
24,3757.0,4,4,62,1,1,3,3,4,2,3,0,0,2,1,0,1,1,1,1
24,1193.0,1,4,29,2,1,1,0,4,2,4,0,0,2,1,2,2,0,1,0
7,846.0,3,4,36,1,1,3,2,6,4,3,3,2,2,1,0,1,0,1,1
18,1453.0,3,1,26,1,1,3,3,6,2,2,0,2,3,1,1,1,0,1,1
26,7966.0,2,3,30,2,1,0,3,9,2,2,3,2,0,1,1,1,0,1,1
12,640.0,4,2,49,1,1,3,3,4,2,0,1,2,3,1,1,3,0,1,1
12,2578.0,3,4,55,1,1,1,3,3,2,4,0,2,2,1,0,0,0,1,1
12,841.0,2,4,23,1,1,0,3,0,0,1,0,2,3,1,2,3,0,1,1
9,2406.0,2,3,31,1,1,3,1,3,2,4,3,2,0,1,1,0,0,1,1
36,1977.0,4,4,40,1,1,1,3,2,4,3,3,2,2,1,1,0,1,1,0
18,433.0,3,4,22,1,1,3,3,6,2,4,0,0,3,1,2,1,0,1,0
24,12579.0,4,2,44,1,1,0,3,9,2,3,0,2,2,1,0,0,1,1,0
12,409.0,3,3,42,2,1,2,0,6,3,0,0,2,3,1,2,1,0,1,1
36,4455.0,2,2,30,2,1,0,2,0,2,0,1,2,3,2,1,0,1,1,0
9,3832.0,1,4,64,1,1,3,3,2,4,3,3,2,3,1,1,3,0,1,1
24,2896.0,2,1,29,1,1,0,3,6,0,2,3,2,0,1,1,1,0,1,1
6,1047.0,2,4,50,1,1,2,1,2,2,0,0,2,1,1,1,3,0,1,1
24,1940.0,4,4,60,1,1,3,1,4,3,3,3,2,3,1,1,1,1,1,1
6,1237.0,1,1,27,2,1,3,1,6,0,0,0,2,1,1,1,1,0,1,1
24,1311.0,4,3,26,1,1,3,3,6,0,1,2,2,1,1,1,1,1,1,1
9,1437.0,2,3,29,1,1,0,0,4,0,1,3,2,2,1,1,1,0,1,0
12,3447.0,4,3,35,1,2,3,0,8,1,0,0,2,3,1,1,3,0,1,1
24,929.0,4,2,31,1,1,3,3,3,4,1,3,2,0,2,1,1,1,1,1
24,6967.0,4,4,36,1,1,0,2,0,0,1,3,2,0,1,2,0,1,1,1
18,3378.0,2,1,31,1,1,3,3,9,4,0,3,2,1,1,1,1,1,1,1
12,1402.0,3,4,37,1,1,3,1,3,1,1,0,2,0,1,2,1,1,1,1
10,1231.0,3,4,32,2,2,3,1,4,2,3,3,2,3,1,1,3,0,0,1
30,2831.0,4,2,33,1,1,3,1,6,2,0,0,2,0,1,1,1,1,1,1
12,1657.0,2,2,27,1,1,1,3,3,2,0,3,2,3,1,1,1,0,1,1
15,3643.0,1,4,27,2,1,1,2,3,2,3,0,2,1,1,1,3,0,1,1
12,1262.0,3,2,25,1,1,3,3,6,2,0,3,2,0,1,1,1,0,1,1
24,1278.0,4,1,36,1,1,3,3,6,2,3,3,2,3,1,1,0,1,1,1
11,1393.0,4,4,35,2,1,3,1,4,2,2,0,2,0,1,1,0,0,1,1
60,7408.0,4,2,24,1,1,0,3,4,0,2,0,2,1,1,1,0,0,1,0
42,4796.0,4,4,56,1,1,2,1,9,2,3,3,2,2,1,0,1,0,1,1
39,8588.0,4,2,45,1,1,3,3,9,0,3,3,2,0,1,1,0,1,1,1
18,1913.0,3,3,36,1,1,0,3,0,3,2,2,2,3,0,1,1,1,1,1
24,4139.0,3,3,27,2,1,3,1,0,0,0,3,2,1,1,1,3,1,1,1
15,1478.0,4,3,33,2,1,3,2,6,2,0,2,2,3,0,1,1,0,1,1
24,3062.0,4,3,32,1,1,3,3,3,1,3,3,2,2,1,2,1,1,1,1
36,10477.0,2,4,42,2,1,3,1,9,4,3,3,2,2,1,0,1,0,1,1
39,2569.0,4,4,24,1,1,3,3,9,1,0,3,2,0,1,1,1,0,1,1
18,1301.0,4,2,32,1,1,0,3,6,2,3,2,1,3,1,1,3,0,1,1
36,6948.0,2,2,35,1,1,0,3,9,2,0,3,2,0,1,2,0,1,1,1
24,1553.0,3,2,23,2,1,0,2,6,0,1,0,2,1,1,2,1,1,1,1
12,7472.0,1,2,24,1,1,0,3,4,4,4,0,2,3,1,2,2,0,1,1
12,1168.0,4,3,27,1,1,1,3,4,2,0,2,2,3,1,1,3,0,1,1
9,1478.0,4,2,22,1,1,3,3,6,2,1,3,2,0,1,1,1,0,1,0
12,2251.0,1,2,46,1,1,2,3,3,2,0,0,2,0,1,1,3,0,1,1
18,1126.0,4,2,21,1,1,3,3,6,4,2,0,2,3,1,2,1,1,1,1
24,2760.0,4,4,36,1,1,0,3,9,4,3,3,2,2,0,0,1,1,1,1
36,2671.0,4,4,50,1,1,0,3,6,0,0,0,0,2,1,0,1,0,1,0
30,4272.0,2,2,26,2,1,3,2,0,0,0,3,2,1,1,1,3,0,1,1
24,1382.0,4,1,26,2,1,1,1,0,0,1,3,2,3,1,1,1,1,1,1
24,2028.0,2,2,30,2,1,3,1,3,2,1,3,2,1,1,1,3,0,1,1
30,5954.0,3,2,38,1,1,3,1,6,2,1,3,0,0,1,1,1,0,1,1
21,1835.0,3,2,25,2,1,1,3,6,2,0,0,2,3,1,1,1,1,1,0
9,1154.0,2,4,37,3,1,0,1,6,2,3,3,2,3,1,1,3,0,1,1
9,1337.0,4,2,34,2,1,2,4,6,2,2,3,2,0,1,1,0,1,1,0
11,4771.0,2,4,51,1,1,0,2,6,2,1,3,2,1,1,1,1,0,1,1
24,1333.0,4,2,43,2,2,1,2,4,2,4,3,2,3,1,0,1,0,1,0
24,2679.0,4,1,29,1,1,3,3,9,2,2,0,2,2,1,1,0,1,1,1
18,1042.0,4,2,33,1,1,0,3,4,4,0,0,2,1,1,1,1,0,1,0
36,12389.0,1,4,37,1,1,0,3,4,4,0,3,2,2,1,0,1,1,1,0
48,3844.0,4,4,34,1,2,0,4,0,0,1,3,2,2,1,0,3,0,1,0
6,1068.0,4,4,28,1,2,0,3,6,2,3,3,2,0,1,1,1,0,1,1
15,2360.0,2,2,36,1,1,2,1,9,1,0,3,2,0,1,1,1,1,1,1
21,3357.0,4,2,29,1,1,1,3,6,3,2,0,2,0,0,1,1,0,1,1
12,2028.0,4,2,30,1,1,0,3,9,4,0,3,2,0,1,1,1,0,1,1
24,2825.0,4,3,34,2,2,0,1,0,4,1,3,2,2,1,1,1,1,1,1
15,2631.0,2,4,28,2,1,0,3,4,0,0,0,2,0,1,2,1,1,1,0
21,2767.0,4,2,61,2,1,0,3,0,0,3,1,2,0,0,2,3,0,1,0
15,3594.0,1,2,46,2,1,3,2,9,2,2,0,2,1,1,1,3,0,1,1
9,1919.0,4,3,35,1,1,0,1,3,2,1,3,2,0,1,2,1,1,1,1
24,2197.0,4,4,43,2,2,3,1,9,4,1,3,2,0,1,1,1,1,1,1
60,7297.0,4,4,36,1,1,1,3,0,2,3,3,0,2,1,2,1,0,1,0
18,4594.0,3,2,32,1,1,3,3,6,2,2,3,2,0,1,1,1,1,1,1
36,5179.0,4,2,29,1,1,1,3,3,2,1,3,2,1,1,1,1,0,1,0
12,609.0,4,1,26,1,1,2,0,0,2,2,0,2,3,1,1,2,0,1,0
48,7238.0,3,3,32,2,2,3,2,6,4,3,3,2,0,0,1,1,0,1,1
8,1164.0,3,4,51,2,2,1,1,5,2,3,3,2,2,0,0,0,1,1,1
24,4712.0,4,2,37,2,1,0,2,0,4,0,3,2,1,0,1,0,1,1,1
6,518.0,3,1,29,1,1,3,3,6,2,0,0,2,3,1,1,1,0,1,1
15,1308.0,4,4,38,2,1,0,3,7,2,3,3,2,0,1,1,3,0,1,1
18,976.0,1,2,23,1,1,1,3,4,2,2,0,2,0,1,1,3,0,1,0
18,2039.0,1,4,20,1,1,1,3,3,2,0,0,2,3,0,2,1,0,1,0
18,3229.0,2,4,38,1,1,3,1,9,4,4,3,2,2,1,1,0,1,1,1
18,3422.0,4,4,47,3,2,3,3,3,2,3,3,2,1,0,1,1,1,1,1
15,4623.0,3,2,40,1,1,3,3,2,0,0,3,2,1,1,1,0,1,1,0
18,3114.0,1,4,26,1,1,1,4,3,2,2,0,2,1,1,2,1,0,1,0
24,6419.0,2,4,44,2,2,1,1,9,2,3,0,2,2,1,0,0,1,1,1
12,2214.0,4,3,24,1,1,1,3,6,2,0,3,2,1,1,1,3,0,1,1
24,7758.0,2,4,29,1,1,0,1,9,3,3,0,2,2,1,2,1,0,1,1
14,3973.0,1,4,22,1,1,1,3,4,2,4,3,2,2,1,0,1,0,1,1
28,7824.0,3,4,40,2,2,3,0,9,4,2,3,1,3,0,2,1,1,1,1
18,2659.0,4,2,28,1,1,1,3,3,3,0,3,2,0,1,1,1,0,1,1
24,1533.0,4,3,38,1,1,3,3,6,2,2,0,2,0,2,1,1,1,1,1
18,6204.0,2,4,44,1,2,0,2,7,2,0,3,2,3,1,1,3,1,1,1
21,2288.0,4,4,23,1,1,3,1,3,2,2,0,2,1,1,1,1,1,1,1
27,2442.0,4,4,43,4,2,1,1,0,2,3,3,2,0,2,1,0,1,1,1
24,5084.0,2,4,42,1,1,0,3,6,4,3,0,2,0,1,1,1,1,1,1
36,3342.0,4,2,51,1,1,3,1,6,4,3,3,2,0,1,1,1,1,1,1
18,2389.0,4,1,27,1,1,1,3,6,2,2,0,2,0,2,1,1,0,1,1
24,1901.0,4,4,29,1,1,3,3,6,0,0,3,2,0,1,2,0,1,1,1
12,759.0,4,2,26,1,1,1,3,4,2,1,3,2,3,1,1,1,0,1,0
48,8358.0,1,1,30,2,1,0,4,4,1,2,0,2,0,1,1,1,0,1,1
12,1103.0,4,3,29,2,1,0,3,6,2,1,3,1,3,1,1,1,0,0,1
36,9857.0,1,3,31,2,2,0,2,0,0,1,3,2,1,1,1,3,1,1,1
9,276.0,4,4,22,1,1,0,3,4,2,0,2,2,3,1,2,3,0,1,1
24,1585.0,4,3,40,2,1,3,1,3,2,1,3,2,1,1,1,1,0,1,1
24,3181.0,4,4,26,1,1,3,3,6,2,2,0,2,1,1,1,1,1,1,1
36,5371.0,3,2,28,2,1,1,1,3,2,0,3,1,1,1,1,1,0,1,1
12,3059.0,2,4,61,1,1,3,3,6,3,1,1,2,3,1,1,3,0,1,1
12,1255.0,4,4,61,2,1,3,1,4,2,3,3,2,3,1,1,3,0,1,1
18,1961.0,3,2,23,1,1,2,3,4,2,3,0,2,0,1,1,0,0,1,1
4,1503.0,2,1,42,2,2,3,1,6,2,1,3,2,3,1,1,3,0,1,1
15,1264.0,2,2,25,1,1,0,0,4,0,0,2,2,1,1,2,1,0,1,0
30,3108.0,2,4,31,1,1,1,3,3,2,2,1,2,1,1,1,3,0,1,0
48,6681.0,4,4,38,1,2,0,2,0,4,0,3,2,2,1,0,1,1,1,1
9,1136.0,4,3,32,2,2,0,1,2,3,3,3,2,2,1,0,1,0,1,0
24,4057.0,3,3,43,1,1,0,3,3,2,1,1,2,0,1,1,1,1,1,0
12,684.0,4,4,40,1,2,1,3,2,2,0,3,2,0,1,2,3,0,1,0
47,10722.0,1,1,35,1,1,1,3,4,2,2,0,2,3,1,1,3,1,1,1
18,8471.0,1,2,23,2,1,1,2,2,4,0,0,2,0,1,2,1,1,1,1
36,2394.0,4,4,25,1,1,3,3,6,4,0,0,2,0,1,1,1,0,1,1
36,5800.0,3,4,34,2,1,0,1,9,2,0,3,2,0,1,1,1,1,1,1
18,2320.0,2,3,34,2,1,3,2,6,2,4,2,2,3,1,1,1,0,1,1
60,15653.0,2,4,21,2,1,3,2,6,2,1,3,2,0,1,1,1,1,1,1
24,1216.0,4,4,38,2,2,0,1,6,0,2,3,2,2,0,1,1,0,1,0
36,4210.0,4,2,26,1,1,2,3,6,2,0,3,2,0,1,1,1,0,1,0
12,3617.0,1,4,28,3,1,0,1,3,2,3,3,2,0,1,2,1,1,1,1
10,2848.0,1,2,32,1,2,3,3,9,0,0,3,0,3,1,1,1,0,1,1
15,5324.0,1,4,35,1,1,3,3,4,1,3,0,2,2,1,0,1,0,1,1
36,2299.0,4,4,39,1,1,3,3,6,1,3,3,2,0,1,1,1,0,1,1
6,1346.0,2,4,42,1,2,3,3,6,0,3,3,2,2,0,0,1,1,1,1
20,6468.0,1,4,60,1,1,0,3,9,4,4,1,2,3,1,1,0,1,1,1
24,1516.0,4,1,43,2,1,3,1,6,3,0,0,2,3,1,1,3,0,1,1
48,6331.0,4,4,46,2,1,1,1,9,2,3,3,2,2,1,0,1,1,1,0
24,1552.0,3,1,32,1,2,3,3,6,2,1,3,2,0,0,1,1,0,1,1
24,11560.0,1,4,23,2,1,0,3,9,2,0,0,2,0,1,2,0,0,1,0
10,894.0,4,3,40,1,1,3,3,8,4,1,0,2,1,1,1,1,1,1,1
12,1289.0,4,1,21,1,1,1,3,3,2,0,3,1,1,1,1,3,0,1,1
15,1478.0,4,4,44,2,2,1,1,3,2,3,3,2,0,1,1,1,1,1,1
48,2751.0,4,3,38,2,2,3,1,9,4,3,3,2,0,1,1,1,1,1,1
12,2073.0,4,2,28,1,1,3,3,6,0,0,0,0,3,1,1,1,0,1,1
15,1262.0,4,3,36,2,1,3,3,1,1,1,3,2,1,1,1,1,1,1,1
18,2779.0,1,3,21,1,1,0,3,9,2,0,2,2,0,1,2,1,1,1,1
15,3812.0,1,4,23,1,1,3,3,9,0,2,0,2,0,1,1,1,1,1,1
24,3632.0,1,4,22,1,1,1,0,9,2,0,0,1,0,0,2,1,0,0,1
12,1474.0,4,1,33,1,1,2,3,3,2,2,0,2,1,0,1,0,1,1,1
9,1549.0,4,2,35,1,1,0,3,4,4,2,3,2,3,1,1,2,0,1,1
18,5302.0,2,4,36,3,1,1,1,4,2,3,3,2,2,1,0,0,1,1,1
48,7476.0,4,1,50,1,1,1,3,2,2,1,3,2,2,1,0,0,1,1,1
6,426.0,4,4,39,1,1,3,4,6,2,3,2,2,0,1,1,3,0,1,1
12,886.0,4,2,21,1,1,3,3,6,4,0,0,2,0,1,1,1,0,1,1
24,1258.0,3,3,57,1,1,2,3,6,1,0,0,2,0,1,1,3,0,1,1
11,7228.0,1,4,39,2,1,3,1,4,2,0,3,2,1,1,1,3,0,1,1
6,683.0,2,1,29,1,1,2,2,6,2,2,0,2,1,0,1,1,0,1,1
12,1108.0,4,3,28,2,1,1,4,7,2,1,3,2,3,1,1,1,0,1,0
36,8229.0,2,2,26,1,2,1,3,9,2,0,3,2,1,1,1,1,0,1,0
12,1534.0,1,1,23,1,1,0,3,6,2,2,2,2,3,1,2,1,0,1,0
21,2782.0,1,2,31,1,1,3,3,4,1,1,0,2,0,0,1,0,0,1,1
24,3105.0,4,2,25,2,1,3,3,6,4,2,3,2,0,1,1,1,0,1,1
24,2828.0,4,4,22,1,1,1,0,3,1,0,3,2,3,2,1,1,1,1,1
18,3612.0,3,4,37,1,1,0,1,3,2,3,0,2,1,1,1,1,1,1,1
48,7119.0,3,4,53,2,2,1,4,3,2,0,3,2,2,1,0,1,0,1,0
15,1053.0,4,2,27,1,1,1,3,6,2,2,2,2,3,1,1,1,0,0,1
18,1445.0,4,4,49,1,1,2,0,6,4,1,3,2,0,0,1,3,0,1,1
24,3148.0,3,2,31,2,1,2,1,6,4,0,3,2,0,1,1,1,1,1,1
36,2384.0,4,1,33,1,1,0,3,7,2,2,3,2,2,1,2,3,0,1,0
30,3857.0,4,4,40,1,1,1,3,9,2,0,1,2,1,1,1,0,1,1,1
15,6850.0,1,2,34,1,2,0,0,4,0,4,3,2,1,1,1,0,1,1,0
24,2359.0,1,1,33,1,1,1,3,3,0,4,1,2,1,1,1,1,0,1,0
18,4165.0,2,2,36,2,2,3,4,0,2,0,3,2,0,2,1,1,0,1,0
48,11590.0,2,4,24,2,1,3,1,9,0,0,0,2,0,0,2,3,0,1,0
27,5965.0,1,2,30,2,1,0,2,9,2,3,3,2,0,1,1,0,1,1,1
12,727.0,4,3,33,1,1,1,3,6,0,2,2,2,2,1,1,3,1,1,0
9,2301.0,2,4,22,1,1,3,3,3,0,2,0,2,1,1,2,1,0,1,1
13,1409.0,2,4,64,1,1,3,3,6,0,4,0,2,3,1,1,1,0,1,1
18,1936.0,2,4,23,2,1,1,3,6,4,1,2,2,0,1,2,3,0,1,1
18,4153.0,2,3,42,1,1,1,3,3,2,0,3,0,0,1,1,1,0,1,0
24,6403.0,1,2,33,1,1,0,2,6,2,2,3,2,0,1,1,1,0,1,1
24,3488.0,3,4,23,1,1,3,3,9,0,1,0,2,0,1,1,1,0,1,1
60,14027.0,4,2,27,1,1,0,3,4,2,1,3,2,2,1,1,0,1,1,0
24,8648.0,2,2,27,2,1,3,2,0,2,2,3,2,0,0,1,1,1,1,0
12,2012.0,4,2,61,1,1,3,1,2,4,1,0,2,0,1,1,1,0,1,1
12,741.0,4,3,22,1,1,1,3,1,0,4,0,2,1,1,1,1,0,1,0
24,5804.0,4,2,27,2,1,3,1,9,3,0,3,2,3,1,1,1,0,1,1
60,13756.0,2,4,63,1,1,3,1,4,4,3,3,2,2,0,0,0,1,1,1
15,1275.0,4,2,24,1,1,1,3,1,4,0,0,2,0,1,2,1,0,1,0
9,2697.0,1,2,32,1,2,3,3,6,2,0,3,2,3,1,1,1,0,1,1
24,3345.0,4,2,39,1,1,1,3,3,2,3,3,2,1,1,2,0,1,1,0
8,907.0,3,2,26,1,1,0,3,0,2,2,2,2,3,1,1,1,1,1,1
18,2100.0,4,2,37,1,1,2,3,6,2,0,3,0,3,2,1,1,0,1,0
11,2142.0,1,2,28,1,1,3,3,0,3,3,1,2,3,1,1,1,1,1,1
9,2030.0,2,1,24,1,1,0,3,3,4,1,3,2,0,1,1,1,1,1,1
12,2171.0,2,2,29,1,1,3,3,6,2,2,0,2,0,0,1,1,0,1,1
24,2812.0,2,4,26,1,1,1,3,9,4,3,0,2,3,1,2,1,0,1,1
6,2108.0,2,2,29,1,1,3,3,6,2,1,2,2,3,1,2,1,0,1,1
24,2684.0,4,2,35,2,1,3,1,6,2,0,3,2,3,1,1,3,0,1,1
24,2872.0,3,4,36,1,2,3,1,6,0,3,3,2,3,1,1,1,1,1,1
24,1747.0,4,1,24,1,1,1,3,3,2,2,3,0,1,1,1,3,0,0,1
30,1919.0,4,3,30,2,1,0,2,6,0,2,3,2,2,2,1,0,0,1,0
24,2483.0,4,4,22,1,1,1,0,3,1,0,3,2,3,2,1,1,1,1,1
6,709.0,2,2,27,1,1,2,3,4,3,2,2,2,3,1,1,2,0,0,1
9,1244.0,4,4,41,2,1,3,1,2,4,3,0,2,1,1,2,3,0,1,1
24,2032.0,4,4,60,2,1,3,2,4,2,3,3,2,2,1,0,1,1,1,1
6,1595.0,3,2,51,1,2,3,3,6,2,1,3,2,1,1,1,1,0,1,1
36,2302.0,4,4,31,1,1,1,3,6,2,0,1,2,0,1,2,1,0,1,0
30,2991.0,2,4,25,1,1,0,3,6,4,3,0,2,0,1,1,1,0,1,1
36,4454.0,4,4,34,2,1,3,2,6,2,0,0,2,3,1,1,1,0,1,1
15,1845.0,4,1,46,1,1,1,3,3,2,2,0,1,1,1,2,1,0,1,1
15,975.0,2,3,25,2,1,1,1,3,2,0,1,2,1,1,1,1,0,1,1
12,1542.0,2,4,36,1,1,3,3,0,2,1,3,2,0,1,1,1,1,1,1
24,717.0,4,4,54,2,1,3,2,4,4,3,2,2,0,1,1,1,1,1,1
10,2132.0,2,3,27,2,1,1,1,3,4,2,0,0,3,1,2,1,0,0,1
12,1344.0,4,2,43,2,2,1,2,4,2,0,3,2,3,1,1,3,0,1,1
24,1927.0,3,2,33,2,1,3,1,2,4,0,0,2,0,1,1,1,1,1,1
48,6416.0,4,3,59,1,1,0,0,0,2,3,0,2,2,1,2,1,0,1,0
9,1138.0,4,4,25,2,1,1,1,6,2,0,3,2,3,1,1,3,0,1,1
48,12169.0,4,4,36,1,1,0,0,4,4,4,3,0,2,1,0,0,1,1,1
18,2169.0,4,2,28,1,1,3,2,0,2,0,2,2,0,1,1,1,1,1,0
48,7582.0,2,4,31,1,1,0,2,5,0,4,3,2,2,1,0,0,1,1,1
15,392.0,4,4,23,1,1,2,3,2,2,2,0,2,1,1,2,1,1,1,1
30,1867.0,4,4,58,1,1,3,3,6,4,3,3,2,0,1,1,1,1,1,1
42,9283.0,1,2,55,1,1,0,0,9,2,4,3,2,2,0,0,0,1,1,1
6,1740.0,2,2,30,2,1,3,1,6,2,3,2,2,3,1,2,1,0,1,1
18,1245.0,4,2,33,1,1,0,1,6,2,0,2,2,0,1,1,1,0,1,0
24,5943.0,1,1,44,2,1,3,3,6,4,2,0,2,0,1,1,1,1,1,0
12,6078.0,2,2,32,1,1,0,3,4,2,1,3,2,0,1,1,1,0,1,1
6,2063.0,4,3,30,1,1,0,3,6,2,2,2,2,0,1,2,0,1,1,1
9,1082.0,4,4,27,2,1,0,3,6,2,3,3,2,0,1,1,3,0,1,1
24,4817.0,2,3,31,1,1,1,3,4,2,1,3,0,1,1,1,1,1,1,0
6,1543.0,4,2,33,1,1,3,3,3,3,0,1,2,3,1,1,1,0,1,1
