N1,N2,N3,N4,N5,N6,N7,label
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
5682,1565,4117,23,66,13,10,0
1556,769,787,17,134,9,8,0
62,62,0,1,0,1,0,1
60,60,0,1,0,1,0,1
883,126,757,2,30,1,1,0
70,70,0,1,5,1,0,0
1622,1137,485,11,26,7,4,0
66,66,0,1,0,1,0,2
289,134,155,2,30,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
184,94,90,2,29,1,1,0
14705,6415,8290,26,149,12,14,0
66,66,0,1,0,1,0,1
618,432,186,9,17,6,3,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
196,102,94,2,30,1,1,0
70,70,0,1,0,1,0,2
101952,6925,95027,143,333,72,71,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
1286,782,504,12,361,7,5,0
168,78,90,2,29,1,1,0
70,70,0,1,0,1,0,2
2933,1237,1696,12,20,7,5,0
177,94,83,2,30,1,1,0
816,102,714,2,30,1,1,0
66,66,0,1,0,1,0,1
94,94,0,1,30,1,0,0
211,110,101,2,30,1,1,0
70,70,0,1,4,1,0,0
156378,5406,150972,165,383,60,105,0
767,102,665,2,29,1,1,0
361,118,243,4,33,2,2,0
70,70,0,1,0,1,0,2
4900,904,3996,16,97,9,7,0
5715,1432,4283,19,15,9,10,0
4962,2551,2411,19,144,10,9,0
5415,1730,3685,20,120,9,11,0
60,60,0,1,0,1,0,1
74784,4781,70003,122,171,55,67,0
260,102,158,2,30,1,1,0
1904818,59945,1844873,1747,162,498,1249,0
66,66,0,1,0,1,0,1
195,102,93,2,31,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,2,7,2,0,0
70,70,0,1,0,1,0,2
2125,1041,1084,11,87,6,5,0
15234,2503,12731,45,135,20,25,0
62,62,0,1,0,1,0,1
22513,15188,7325,69,517,31,38,0
62,62,0,1,0,1,0,1
289,102,187,2,30,1,1,0
70,70,0,1,0,1,0,2
182,93,89,2,31,1,1,0
229,90,139,2,30,1,1,0
136,136,0,3,14,3,0,0
70,70,0,1,5,1,0,0
19693,1957,17736,49,32,23,26,0
17128,1499,15629,24,25,9,15,0
4654,2499,2155,17,31,9,8,0
669,669,0,1,0,1,0,1
70,70,0,1,0,1,0,2
6378,1571,4807,23,315,12,11,0
70,70,0,1,0,1,0,2
129,129,0,1,0,1,0,1
70,70,0,1,0,1,0,2
48320,1685,46635,57,126,22,35,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
138065,109491,28574,429,186,230,199,0
2403265,93626,2309639,2795,243,1103,1692,0
70,70,0,1,0,1,0,2
60978,3794,57184,73,137,26,47,0
220,78,142,2,30,1,1,0
1056,682,374,10,15,6,4,0
70,70,0,1,0,1,0,2
216,98,118,2,30,1,1,0
21625,7638,13987,45,48,24,21,0
1466,856,610,13,27,6,7,0
3558,2453,1105,17,15,9,8,0
60,60,0,1,0,1,0,1
378,192,186,7,41,4,3,0
8628,2898,5730,20,144,9,11,0
3155111,84086,3071025,3163,75,1072,2091,0
66,66,0,1,0,1,0,1
10454,4931,5523,21,30,10,11,0
1346,918,428,10,31,6,4,0
66,66,0,1,5,1,0,0
195,102,93,2,30,1,1,0
276,118,158,2,30,1,1,0
194,87,107,2,30,1,1,0
70,70,0,1,0,1,0,2
4043,1781,2262,19,128,11,8,0
5157,917,4240,20,360,10,10,0
66,66,0,1,0,1,0,1
193,102,91,2,30,1,1,0
66,66,0,2,8,2,0,0
135,135,0,1,0,1,0,1
194,102,92,2,30,1,1,0
62,62,0,1,0,1,0,1
199,102,97,2,31,1,1,0
70,70,0,1,4,1,0,0
195,102,93,2,30,1,1,0
2356,1309,1047,16,31,9,7,0
211,102,109,2,30,1,1,0
3063,1813,1250,18,16,8,10,0
742,88,654,2,30,1,1,0
33489,2768,30721,44,121,17,27,0
210,110,100,2,31,1,1,0
825,99,726,2,30,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
761,100,661,2,31,1,1,0
29241,2457,26784,48,171,24,24,0
143,143,0,1,0,1,0,1
6397,2103,4294,17,26,9,8,0
66,66,0,1,0,1,0,2
70,70,0,1,5,1,0,0
66,66,0,1,0,1,0,1
1638,1324,314,10,15,5,5,0
234,93,141,2,30,1,1,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
146,146,0,1,0,1,0,1
62,62,0,1,0,1,0,1
97,97,0,1,0,1,0,1
890,126,764,2,31,1,1,0
183,94,89,2,29,1,1,0
873,126,747,3,31,2,1,0
70,70,0,2,7,2,0,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
234,78,156,2,30,1,1,0
66,66,0,1,0,1,0,2
6345,3495,2850,18,120,9,9,0
66,66,0,1,0,1,0,2
136,136,0,3,14,3,0,0
2001,1107,894,13,150,7,6,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
168,86,82,2,30,1,1,0
70,70,0,1,0,1,0,2
77821,4380,73441,82,53,23,59,0
6883,1378,5505,19,131,9,10,0
222,78,144,2,30,1,1,0
4344,2189,2155,15,126,7,8,0
602278,26008,576270,748,396,317,431,0
698,320,378,10,16,6,4,0
8208,2080,6128,24,81,14,10,0
8415,883,7532,23,54,8,15,0
70,70,0,1,0,1,0,2
255,71,184,2,31,1,1,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
167,86,81,2,30,1,1,0
353,98,255,4,32,2,2,0
66,66,0,1,0,1,0,1
150,150,0,1,5,1,0,0
70,70,0,1,0,1,0,2
288,93,195,4,32,2,2,0
3424,1710,1714,16,32,8,8,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
11116,4583,6533,39,256,19,20,0
60,60,0,1,0,1,0,1
1912,1213,699,19,169,11,8,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
195,102,93,2,29,1,1,0
2140,1030,1110,22,149,8,14,0
66,66,0,1,0,1,0,1
130,70,60,3,5,2,1,0
66,66,0,1,0,1,0,1
198,101,97,2,31,1,1,0
70,70,0,1,0,1,0,2
224,88,136,2,30,1,1,0
70,70,0,1,0,1,0,2
3155,836,2319,13,135,6,7,0
70,70,0,1,0,1,0,2
480,149,331,2,1200,1,1,0
66,66,0,1,0,1,0,2
295,103,192,4,48,2,2,0
847,110,737,2,30,1,1,0
199,94,105,2,30,1,1,0
1596,511,1085,10,15,5,5,0
320,320,0,1,0,1,0,1
39679,7315,32364,45,24,17,28,0
231,88,143,2,33,1,1,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,2
384,166,218,2,29,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
948720,23674,925046,988,26,349,639,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
736,490,246,8,17,4,4,0
70,70,0,1,30,1,0,0
66,66,0,1,0,1,0,1
321,102,219,2,30,1,1,0
66,66,0,1,0,1,0,1
156,66,90,2,5,1,1,0
62,62,0,1,0,1,0,1
832,106,726,2,29,1,1,0
146,146,0,1,0,1,0,1
70,70,0,1,4,1,0,0
130,70,60,3,5,2,1,0
5448,989,4459,22,84,10,12,0
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
45482,2178,43304,56,15,22,34,0
2192,1049,1143,24,119,11,13,0
10367,2273,8094,43,730,22,21,0
199,94,105,2,30,1,1,0
177,94,83,2,31,1,1,0
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
4599,1692,2907,19,29,11,8,0
184574,24037,160537,209,84,87,122,0
130,70,60,2,5,1,1,0
132,132,0,3,1199,3,0,0
70,70,0,2,8,2,0,0
66,66,0,1,0,1,0,2
6389,1439,4950,22,18,11,11,0
6156,4764,1392,17,231,11,6,0
7066,1129,5937,19,172,9,10,0
80933,20860,60073,121,324,66,55,0
60,60,0,1,0,1,0,1
281,94,187,2,30,1,1,0
3096,1001,2095,12,150,7,5,0
70,70,0,1,0,1,0,2
376,94,282,2,30,1,1,0
62,62,0,1,0,1,0,1
6110,857,5253,17,16,9,8,0
66,66,0,1,0,1,0,1
1461,980,481,11,25,7,4,0
1461,924,537,13,31,7,6,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
537031,23421,513610,622,43,258,364,0
170,87,83,2,30,1,1,0
9277,2865,6412,31,200,18,13,0
62,62,0,1,0,1,0,1
1420,888,532,11,49,7,4,0
216,110,106,2,30,1,1,0
886,126,760,2,30,1,1,0
146,146,0,1,0,1,0,1
198,102,96,2,30,1,1,0
7940,1951,5989,20,15,11,9,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
168,78,90,2,30,1,1,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
260,86,174,2,30,1,1,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
320,320,0,1,0,1,0,1
884,126,758,2,31,1,1,0
81803,3159,78644,93,20,33,60,0
210,140,70,4,14,3,1,0
15525,1642,13883,32,16,16,16,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
733,93,640,2,31,1,1,0
70,70,0,1,0,1,0,2
184,94,90,2,30,1,1,0
66,66,0,1,0,1,0,2
5194,3739,1455,18,15,10,8,0
70,70,0,1,0,1,0,2
70,70,0,2,8,2,0,0
5060,3367,1693,21,102,12,9,0
93,93,0,1,31,1,0,0
774,102,672,2,30,1,1,0
198,102,96,2,33,1,1,0
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
280,96,184,4,36,2,2,0
448,184,264,6,30,3,3,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
227,110,117,2,30,1,1,0
70,70,0,1,0,1,0,2
3910,1805,2105,20,19,12,8,0
1775,169,1606,7,122,3,4,0
5166,700,4466,16,15,7,9,0
6250,1774,4476,27,17,14,13,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
4730,2569,2161,16,135,8,8,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
546,166,380,2,1200,1,1,0
1268772,32833,1235939,1288,81,409,879,0
70,70,0,1,0,1,0,2
312,192,120,6,41,4,2,0
43887,3283,40604,60,398,21,39,0
184,94,90,2,31,1,1,0
193,102,91,2,30,1,1,0
66,66,0,1,0,1,0,1
15982,9199,6783,95,160,40,55,0
60,60,0,1,0,1,0,1
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
168,86,82,2,31,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
166,86,80,2,30,1,1,0
429929,11379,418550,456,21,174,282,0
195,102,93,2,30,1,1,0
66,66,0,1,0,1,0,1
280,97,183,4,58,2,2,0
70,70,0,2,8,2,0,0
62,62,0,1,0,1,0,1
3701,1232,2469,13,136,6,7,0
182,94,88,2,30,1,1,0
734,86,648,2,31,1,1,0
2458316,102393,2355923,2942,241,1261,1681,0
66,66,0,1,0,1,0,2
820,152,668,4,1199,2,2,0
3884,1859,2025,20,255,10,10,0
183,94,89,2,30,1,1,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
210,110,100,2,30,1,1,0
210,102,108,2,30,1,1,0
168,78,90,2,30,1,1,0
62,62,0,1,0,1,0,1
173,94,79,2,31,1,1,0
177,94,83,2,30,1,1,0
8471,2343,6128,30,240,15,15,0
70,70,0,1,5,1,0,0
66,66,0,1,0,1,0,1
460,112,348,4,56,2,2,0
212,108,104,2,31,1,1,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
384,166,218,2,29,1,1,0
11647,2439,9208,47,3724,21,26,0
146,146,0,1,0,1,0,1
62,62,0,1,0,1,0,1
193,102,91,2,29,1,1,0
70,70,0,1,5,1,0,0
188,96,92,2,31,1,1,0
62,62,0,1,0,1,0,1
23216,1806,21410,40,28,20,20,0
62,62,0,1,0,1,0,1
728,96,632,2,30,1,1,0
70,70,0,2,8,2,0,0
7162,3201,3961,19,27,11,8,0
145,145,0,1,0,1,0,1
70,70,0,1,0,1,0,2
732,89,643,2,31,1,1,0
210,110,100,2,31,1,1,0
60,60,0,1,0,1,0,1
379,259,120,4,16,2,2,0
304,86,218,2,30,1,1,0
168,78,90,2,30,1,1,0
174,89,85,2,31,1,1,0
3036,818,2218,12,119,6,6,0
1409,735,674,12,17,5,7,0
4181,998,3183,14,26,7,7,0
458,188,270,6,29,3,3,0
7046,3518,3528,66,612,35,31,0
66,66,0,1,0,1,0,2
5939,772,5167,17,27,9,8,0
60,60,0,1,0,1,0,1
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
202,83,119,2,31,1,1,0
90001,3161,86840,91,15,26,65,0
66,66,0,1,0,1,0,2
60,60,0,1,0,1,0,1
60,60,0,1,0,1,0,1
66,66,0,1,0,1,0,1
70,70,0,1,30,1,0,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
4472,1666,2806,13,121,6,7,0
711,87,624,2,30,1,1,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
31736,1463,30273,43,32,14,29,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
353,94,259,2,30,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
250,86,164,4,31,2,2,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
172,88,84,2,30,1,1,0
499,425,74,4,0,3,1,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
183,94,89,2,29,1,1,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
8057,2037,6020,20,15,11,9,0
60,60,0,1,0,1,0,1
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
8363,1573,6790,24,49,14,10,0
66,66,0,1,0,1,0,1
3182,1568,1614,8,120,4,4,0
7393,2050,5343,34,92,16,18,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
8924,872,8052,19,41,9,10,0
183,94,89,2,30,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
1056,569,487,10,38,6,4,0
3947,2796,1151,22,28,12,10,0
193,102,91,2,30,1,1,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
318,192,126,6,29,4,2,0
62,62,0,1,0,1,0,1
168,78,90,2,30,1,1,0
70,70,0,1,0,1,0,2
452,280,172,5,30,3,2,0
832,106,726,2,30,1,1,0
223,86,137,2,30,1,1,0
52352,11192,41160,90,476,44,46,0
62,62,0,1,0,1,0,1
152651,4700,147951,174,17,65,109,0
70,70,0,1,0,1,0,2
198,101,97,2,30,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
193,102,91,2,31,1,1,0
70,70,0,1,5,1,0,0
62,62,0,1,0,1,0,1
210,110,100,2,29,1,1,0
502,150,352,2,1200,1,1,0
148,148,0,1,0,1,0,1
166,86,80,2,29,1,1,0
238,78,160,2,30,1,1,0
18311,11567,6744,43,363,21,22,0
194,102,92,2,29,1,1,0
7883,1768,6115,30,36,14,16,0
62,62,0,1,0,1,0,1
179,94,85,2,30,1,1,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,1
60,60,0,1,0,1,0,1
210,110,100,2,30,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
4850,2997,1853,20,234,12,8,0
701,88,613,2,30,1,1,0
139,70,69,2,30,1,1,0
398,255,143,3,34,2,1,0
9083,2300,6783,19,56,10,9,0
66,66,0,1,0,1,0,1
1010,252,758,4,33,3,1,0
3776,2372,1404,17,15,9,8,0
6021,1981,4040,21,15,9,12,0
36152,2792,33360,55,19,29,26,0
200,94,106,2,30,1,1,0
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
4433,1526,2907,19,27,11,8,0
60,60,0,1,0,1,0,1
3354,1792,1562,46,193,23,23,0
167,86,81,2,31,1,1,0
594,594,0,10,1200,10,0,0
193,102,91,2,30,1,1,0
8059,2039,6020,20,15,11,9,0
421,88,333,4,39,2,2,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
108790,4633,104157,192,15,66,126,0
161,161,0,1,0,1,0,1
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
320,140,180,6,7,3,3,0
70,70,0,1,0,1,0,2
72,72,0,1,0,1,0,1
198,93,105,2,30,1,1,0
66,66,0,1,0,1,0,1
2227,1018,1209,17,15,8,9,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,2,8,2,0,0
1658,1247,411,8,15,5,3,0
2793,1071,1722,14,105,7,7,0
86,86,0,1,30,1,0,0
2572,330,2242,12,135,5,7,0
197,102,95,2,30,1,1,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
2118,858,1260,28,1283,14,14,0
62,62,0,1,0,1,0,1
492,492,0,7,15,7,0,0
194,102,92,2,29,1,1,0
181,94,87,2,30,1,1,0
181,94,87,2,33,1,1,0
70,70,0,1,5,1,0,0
9378,2858,6520,48,196,21,27,0
5176,861,4315,16,26,9,7,0
234,234,0,4,12,4,0,0
62,62,0,1,0,1,0,1
1934086,60476,1873610,1754,162,493,1261,0
70,70,0,1,0,1,0,2
404,259,145,3,32,2,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
9963,2631,7332,37,48,20,17,0
106,106,0,1,60,1,0,0
188,96,92,2,31,1,1,0
3354,1792,1562,46,194,23,23,0
145,145,0,1,0,1,0,1
70,70,0,1,0,1,0,2
5689,501,5188,14,15,7,7,0
5019,1424,3595,15,87,9,6,0
7542,1235,6307,23,15,12,11,0
70,70,0,2,7,2,0,0
9539,3344,6195,36,17,17,19,0
504,382,122,8,15,6,2,0
448,184,264,6,31,3,3,0
70,70,0,1,0,1,0,2
183,94,89,2,29,1,1,0
881,126,755,2,31,1,1,0
66,66,0,1,0,1,0,1
235,102,133,2,29,1,1,0
3060,1569,1491,12,17,7,5,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
366,180,186,7,28,4,3,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
490914,83866,407048,1048,332,526,522,0
130,70,60,2,5,1,1,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
184,94,90,2,30,1,1,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,2
11700,3386,8314,63,362,33,30,0
2997,1906,1091,29,186,17,12,0
216,90,126,2,30,1,1,0
62,62,0,1,0,1,0,1
210,102,108,2,30,1,1,0
70,70,0,1,0,1,0,2
9730,1613,8117,24,170,11,13,0
62,62,0,1,0,1,0,1
488,111,377,4,53,2,2,0
3877,2069,1808,15,26,9,6,0
66,66,0,1,0,1,0,1
70,70,0,1,4,1,0,0
1386,1386,0,22,1610,22,0,0
146,146,0,1,0,1,0,1
168,86,82,2,31,1,1,0
7118,2386,4732,18,133,10,8,0
193,102,91,2,30,1,1,0
8313,3597,4716,16,119,8,8,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
3758,1691,2067,12,135,6,6,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
60,60,0,1,0,1,0,1
62,62,0,1,0,1,0,1
6133,1655,4478,12,120,5,7,0
66,66,0,1,5,1,0,0
184725,5028,179697,217,25,75,142,0
62,62,0,1,0,1,0,1
232,172,60,3,5,2,1,0
70,70,0,1,0,1,0,2
223,78,145,2,30,1,1,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
60,60,0,1,0,1,0,1
177,94,83,2,30,1,1,0
66,66,0,1,0,1,0,1
196,102,94,2,31,1,1,0
62,62,0,1,0,1,0,1
216,102,114,2,30,1,1,0
25120,1874,23246,39,171,17,22,0
70,70,0,1,0,1,0,2
8964,2125,6839,34,120,18,16,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
83,83,0,1,0,1,0,1
70,70,0,1,0,1,0,2
234,234,0,4,12,4,0,0
10707,2969,7738,32,47,18,14,0
9096,4245,4851,29,121,14,15,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,2
164,78,86,2,29,1,1,0
5040,2743,2297,34,185,18,16,0
198,101,97,2,31,1,1,0
70,70,0,1,0,1,0,2
208,94,114,2,30,1,1,0
179,94,85,2,30,1,1,0
70,70,0,1,0,1,0,2
200,102,98,2,30,1,1,0
207,118,89,2,1200,1,1,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
258,110,148,2,30,1,1,0
146,146,0,1,0,1,0,1
36457,2308,34149,52,98,23,29,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
3998,1986,2012,20,255,10,10,0
1905,1456,449,10,20,6,4,0
811,94,717,2,30,1,1,0
186,102,84,2,29,1,1,0
2005,1100,905,16,17,9,7,0
4315,928,3387,16,15,10,6,0
1641,483,1158,10,15,5,5,0
377544,10569,366975,414,221,152,262,0
737,462,275,2,29,1,1,0
188,96,92,2,31,1,1,0
66,66,0,1,0,1,0,1
6287,1742,4545,17,19,10,7,0
1798,540,1258,10,15,6,4,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
72734,14614,58120,112,44,39,73,0
70,70,0,1,0,1,0,2
6930,1665,5265,18,3601,9,9,0
355939,9284,346655,365,121,125,240,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
316,136,180,6,6,3,3,0
197,90,107,2,30,1,1,0
70,70,0,1,0,1,0,2
4302,3722,580,14,15,8,6,0
71073,4403,66670,99,116,41,58,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
38272,2881,35391,54,54,26,28,0
62,62,0,1,0,1,0,1
186,95,91,2,31,1,1,0
213,102,111,2,30,1,1,0
45483074,398771,45084303,36307,333,3386,32921,0
197,90,107,2,30,1,1,0
62,62,0,1,0,1,0,1
3562,1936,1626,48,193,24,24,0
756,94,662,2,29,1,1,0
101707,1824,99883,96,15,26,70,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
190,90,100,3,60,2,1,0
78,78,0,1,29,1,0,0
62,62,0,1,0,1,0,1
292,126,166,2,30,1,1,0
194,99,95,2,31,1,1,0
62,62,0,1,0,1,0,1
6124,860,5264,18,361,9,9,0
193,102,91,2,31,1,1,0
70,70,0,1,0,1,0,2
177,94,83,2,29,1,1,0
194,102,92,2,30,1,1,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
356,105,251,4,49,2,2,0
7985,2085,5900,18,121,8,10,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,1
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
199,102,97,2,29,1,1,0
184,94,90,2,30,1,1,0
62,62,0,1,0,1,0,1
11529,8753,2776,41,120,22,19,0
182,102,80,2,30,1,1,0
1484,805,679,11,25,7,4,0
167,86,81,2,30,1,1,0
499,425,74,4,0,3,1,0
70,70,0,1,0,1,0,2
228,97,131,2,30,1,1,0
66,66,0,1,0,1,0,1
179,94,85,2,31,1,1,0
711,87,624,2,30,1,1,0
145,145,0,1,0,1,0,1
11168,3827,7341,42,16,20,22,0
395,111,284,2,31,1,1,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
177,94,83,2,30,1,1,0
3630,2427,1203,21,3601,11,10,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
145,145,0,1,0,1,0,1
889,404,485,10,30,5,5,0
70,70,0,1,0,1,0,2
190,97,93,2,31,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
234,234,0,4,12,4,0,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,1
422,164,258,6,30,3,3,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
237,91,146,2,33,1,1,0
4575,2400,2175,20,18,11,9,0
133674,20935,112739,206,350,105,101,0
66,66,0,1,0,1,0,2
182,93,89,2,31,1,1,0
259496,6676,252820,249,28,74,175,0
70,70,0,1,0,1,0,2
8503,1969,6534,24,32,13,11,0
7767,1421,6346,20,15,8,12,0
11626,1206,10420,31,74,13,18,0
193,102,91,2,30,1,1,0
7929,1940,5989,20,16,11,9,0
62,62,0,1,0,1,0,1
1263,640,623,12,45,7,5,0
66,66,0,1,0,1,0,2
146,146,0,1,0,1,0,1
502,150,352,2,1200,1,1,0
62,62,0,1,0,1,0,1
97,97,0,1,0,1,0,1
