N1,N2,N3,N4,N5,N6,N7,label
450,246,204,8,29,5,3,0
183,94,89,2,30,1,1,0
216,110,106,2,30,1,1,0
2548,1565,983,20,330,11,9,0
70,70,0,1,0,1,0,2
20948,4141,16807,76,616,37,39,0
170,87,83,2,30,1,1,0
2012,1423,589,12,48,6,6,0
66,66,0,1,0,1,0,1
9824,2902,6922,38,48,19,19,0
70,70,0,1,5,1,0,0
70,70,0,1,0,1,0,2
294,102,192,2,30,1,1,0
178,94,84,2,30,1,1,0
66,66,0,1,0,1,0,1
170,87,83,2,31,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
783,96,687,2,31,1,1,0
270,88,182,4,54,2,2,0
177,94,83,2,30,1,1,0
62,62,0,1,0,1,0,1
265,85,180,4,41,2,2,0
70,70,0,1,0,1,0,2
103732,4081,99651,128,61,55,73,0
293,223,70,4,1,3,1,3
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
7092,1883,5209,21,21,12,9,0
7427,2084,5343,24,361,12,12,0
66,66,0,1,0,1,0,1
2394,1365,1029,18,275,9,9,0
3163100,158133,3004967,3863,264,1464,2399,0
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
7224,114,7110,9,122,2,7,0
66,66,0,1,0,1,0,1
88,88,0,1,0,1,0,1
10480,4949,5531,22,15,12,10,0
183,94,89,2,29,1,1,0
66,66,0,1,0,1,0,1
10633,2672,7961,31,20,16,15,0
62,62,0,1,0,1,0,1
145,145,0,1,0,1,0,1
140,78,62,2,30,1,1,0
207,86,121,2,29,1,1,0
8829,3335,5494,16,126,9,7,0
66,66,0,1,0,1,0,2
286,102,184,4,46,2,2,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
378,192,186,7,21,4,3,0
183,94,89,2,30,1,1,0
70,70,0,1,0,1,0,2
177,94,83,2,30,1,1,0
62,62,0,1,0,1,0,1
4902,861,4041,15,16,7,8,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
60,60,0,1,0,1,0,1
210,102,108,2,30,1,1,0
9581,3281,6300,36,16,16,20,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,2,8,2,0,0
66,66,0,1,0,1,0,2
66,66,0,2,7,2,0,0
62,62,0,1,0,1,0,1
146,146,0,1,0,1,0,1
296,97,199,4,53,2,2,0
62,62,0,1,5,1,0,0
216,110,106,2,30,1,1,0
60,60,0,1,0,1,0,1
3182,1568,1614,8,120,4,4,0
193,102,91,2,29,1,1,0
2589,1231,1358,9,28,5,4,0
590874,19818,571056,669,42,271,398,0
4163,2891,1272,17,17,9,8,0
66,66,0,1,0,1,0,2
821,102,719,2,30,1,1,0
178,94,84,2,30,1,1,0
66,66,0,1,0,1,0,2
156,156,0,3,8,3,0,0
70,70,0,1,0,1,0,2
177,94,83,2,29,1,1,0
884,126,758,2,31,1,1,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
229,89,140,2,31,1,1,0
178,94,84,2,30,1,1,0
304,86,218,2,30,1,1,0
8263,2100,6163,34,255,16,18,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
13972,2550,11422,29,954,11,18,0
318,192,126,6,26,4,2,0
146,146,0,1,0,1,0,1
227,89,138,2,30,1,1,0
66,66,0,1,0,1,0,1
499,425,74,4,0,3,1,0
193,102,91,2,31,1,1,0
70,70,0,1,4,1,0,0
152,152,0,1,1200,1,0,0
94,94,0,1,30,1,0,0
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
70,70,0,2,8,2,0,0
672,300,372,12,30,6,6,0
176,90,86,2,31,1,1,0
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
873,126,747,2,31,1,1,0
466,192,274,6,83,3,3,0
66,66,0,1,0,1,0,2
20036,2088,17948,51,334,21,30,0
23470,2457,21013,31,22,13,18,0
28847,16957,11890,144,293,60,84,0
2013,1363,650,12,134,7,5,0
876,519,357,10,75,6,4,0
70,70,0,1,0,1,0,2
66,66,0,1,5,1,0,0
5562,1204,4358,11,91,7,4,0
996,462,534,4,31,2,2,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
20451,1899,18552,33,17,14,19,0
62,62,0,1,0,1,0,1
2921276,89544,2831732,3090,63,1086,2004,0
741,94,647,2,30,1,1,0
176,90,86,2,30,1,1,0
200,102,98,2,30,1,1,0
66,66,0,1,0,1,0,1
183,94,89,2,30,1,1,0
184,94,90,2,31,1,1,0
66,66,0,1,0,1,0,2
72,72,0,1,0,1,0,1
193,102,91,2,30,1,1,0
66,66,0,1,0,1,0,1
474,200,274,6,44,3,3,0
11741,7040,4701,40,172,22,18,0
174,89,85,2,30,1,1,0
182624,7130,175494,212,132,77,135,0
499,425,74,4,0,3,1,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
502469,15202,487267,580,97,193,387,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
4515,2193,2322,14,135,7,7,0
5198,504,4694,13,15,7,6,0
211,102,109,2,30,1,1,0
308,110,198,2,29,1,1,0
177,94,83,2,30,1,1,0
66,66,0,1,0,1,0,2
194,102,92,2,31,1,1,0
70,70,0,1,0,1,0,2
244,78,166,2,30,1,1,0
613,539,74,7,15,6,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
146,146,0,1,0,1,0,1
70,70,0,1,0,1,0,2
14033,1591,12442,26,132,10,16,0
242,94,148,2,30,1,1,0
70,70,0,1,0,1,0,2
325,75,250,2,30,1,1,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
211,102,109,2,29,1,1,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
184,94,90,2,31,1,1,0
70,70,0,1,0,1,0,2
222,86,136,2,30,1,1,0
730,102,628,2,31,1,1,0
6096,777,5319,17,25,9,8,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
5520,1212,4308,18,28,9,9,0
200,102,98,2,30,1,1,0
60,60,0,1,0,1,0,1
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
66,66,0,2,8,2,0,0
258,70,188,4,7,2,2,0
178,94,84,2,30,1,1,0
499,425,74,4,0,3,1,0
66,66,0,1,0,1,0,1
78,78,0,1,29,1,0,0
254,102,152,2,30,1,1,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
499,425,74,4,0,3,1,0
146,146,0,1,0,1,0,1
60,60,0,1,0,1,0,1
177,94,83,2,30,1,1,0
4382,2084,2298,18,66,10,8,0
258,70,188,4,8,2,2,0
199,94,105,2,30,1,1,0
70,70,0,1,0,1,0,2
132,132,0,3,1199,3,0,0
155516,6298,149218,174,107,49,125,0
3566,1999,1567,16,15,8,8,0
66,66,0,1,0,1,0,2
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
60,60,0,1,0,1,0,1
816,102,714,2,30,1,1,0
66,66,0,1,0,1,0,1
504,318,186,8,16,5,3,0
754,94,660,2,30,1,1,0
62,62,0,1,0,1,0,1
197,102,95,2,30,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
162010,4343,157667,170,98,61,109,0
197342,62255,135087,232,170,110,122,0
72,72,0,1,0,1,0,1
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,1
197,90,107,2,30,1,1,0
546,306,240,9,143,5,4,0
316,136,180,6,6,3,3,0
168,86,82,2,30,1,1,0
414,268,146,3,32,2,1,0
66,66,0,1,0,1,0,1
4685,2421,2264,10,119,5,5,0
886,126,760,2,30,1,1,0
422,164,258,6,30,3,3,0
2442,356,2086,12,120,5,7,0
7889,1900,5989,20,15,11,9,0
62,62,0,1,0,1,0,1
30210,2106,28104,46,201,17,29,0
138,64,74,3,5,2,1,0
6564,3283,3281,19,140,10,9,0
522,162,360,6,64,3,3,0
180,94,86,2,29,1,1,0
66,66,0,1,0,1,0,1
2626,1638,988,19,83,11,8,0
1506,1446,60,2,5,1,1,0
62,62,0,1,0,1,0,1
167,86,81,2,30,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
340,89,251,4,44,2,2,0
44232,11223,33009,97,460,50,47,0
199,102,97,2,30,1,1,0
66,66,0,1,0,1,0,2
960,539,421,9,35,5,4,0
159,159,0,1,0,1,0,1
9933,2306,7627,27,82,13,14,0
889,404,485,10,30,5,5,0
173,94,79,2,31,1,1,0
502,103,399,4,51,2,2,0
66,66,0,1,0,1,0,1
322,110,212,4,31,2,2,0
66,66,0,1,0,1,0,2
8058,2038,6020,20,15,11,9,0
152,66,86,2,10,1,1,0
193,102,91,2,30,1,1,0
66,66,0,1,0,1,0,1
183,94,89,2,29,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
18789,5169,13620,54,30,27,27,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
879,126,753,2,31,1,1,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,1
192,98,94,2,30,1,1,0
62,62,0,1,0,1,0,1
5766,1925,3841,22,17,14,8,0
294,86,208,2,30,1,1,0
66,66,0,1,0,1,0,2
183,94,89,2,30,1,1,0
10823,1626,9197,27,28,15,12,0
146,146,0,1,0,1,0,1
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
244,98,146,2,32,1,1,0
70,70,0,2,7,2,0,0
66,66,0,1,0,1,0,2
70,70,0,1,5,1,0,0
186,95,91,2,30,1,1,0
7067,1129,5938,19,141,9,10,0
742,462,280,2,31,1,1,0
66,66,0,1,0,1,0,2
148,148,0,1,0,1,0,1
82,82,0,2,40,2,0,0
177,94,83,2,30,1,1,0
180,94,86,2,29,1,1,0
7298,2661,4637,21,19,11,10,0
183,94,89,2,31,1,1,0
8007,1987,6020,20,15,11,9,0
124,64,60,2,0,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
139,139,0,1,0,1,0,1
8115,1962,6153,24,18,14,10,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
10817,2611,8206,44,135,21,23,0
70,70,0,2,8,2,0,0
234,234,0,4,11,4,0,0
740,93,647,2,31,1,1,0
66,66,0,1,0,1,0,1
184,94,90,2,30,1,1,0
190,70,120,4,15,2,2,0
70,70,0,1,0,1,0,2
178,91,87,2,30,1,1,0
145,145,0,1,0,1,0,1
193,102,91,2,30,1,1,0
70,70,0,1,0,1,0,2
196,94,102,2,30,1,1,0
758,320,438,11,16,6,5,0
66,66,0,1,0,1,0,1
731,91,640,2,31,1,1,0
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
819,102,717,2,30,1,1,0
6123,860,5263,18,361,9,9,0
70,70,0,1,0,1,0,2
13914,7812,6102,52,69,28,24,0
177,94,83,2,30,1,1,0
480,149,331,2,1200,1,1,0
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
499,425,74,4,0,3,1,0
146,146,0,1,0,1,0,1
11774,5465,6309,75,585,38,37,0
261,87,174,4,45,2,2,0
44752,820,43932,45,15,12,33,0
70,70,0,1,5,1,0,0
193,102,91,2,29,1,1,0
66,66,0,1,0,1,0,1
198,102,96,2,33,1,1,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
1052,612,440,10,15,5,5,0
70,70,0,2,8,2,0,0
70,70,0,1,0,1,0,2
2982,2565,417,12,15,7,5,0
969,86,883,2,30,1,1,0
8325,1483,6842,24,47,13,11,0
8512,2563,5949,27,24,15,12,0
1000,557,443,11,141,6,5,0
235,90,145,2,32,1,1,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
4295,719,3576,16,125,8,8,0
320,140,180,6,5,3,3,0
8712,2293,6419,26,315,13,13,0
62,62,0,1,0,1,0,1
7481,2264,5217,22,135,10,12,0
62,62,0,1,0,1,0,1
7981,1961,6020,20,16,11,9,0
70,70,0,1,5,1,0,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
7800,1743,6057,20,89,11,9,0
5342,1304,4038,14,134,8,6,0
70,70,0,1,0,1,0,2
148,148,0,1,0,1,0,1
70,70,0,1,0,1,0,2
177,94,83,2,29,1,1,0
62,62,0,1,0,1,0,1
481,150,331,2,1200,1,1,0
213,79,134,2,33,1,1,0
733,94,639,2,30,1,1,0
62,62,0,1,0,1,0,1
10192,5090,5102,43,15,24,19,0
146,146,0,1,0,1,0,1
234,234,0,4,12,4,0,0
887,126,761,2,30,1,1,0
66,66,0,1,0,1,0,1
504,382,122,8,15,6,2,0
70,70,0,1,0,1,0,2
70,70,0,1,5,1,0,0
258,102,156,2,30,1,1,0
195,102,93,2,30,1,1,0
60,60,0,1,0,1,0,1
213,94,119,2,30,1,1,0
306,94,212,2,30,1,1,0
199,102,97,2,30,1,1,0
86,86,0,1,30,1,0,0
7627,2734,4893,26,16,15,11,0
70,70,0,1,4,1,0,0
193,102,91,2,30,1,1,0
177,94,83,2,29,1,1,0
70,70,0,2,8,2,0,0
70,70,0,1,0,1,0,2
198,102,96,2,30,1,1,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
145,145,0,1,0,1,0,1
70,70,0,1,0,1,0,2
775,103,672,2,30,1,1,0
62,62,0,1,0,1,0,1
70,70,0,2,8,2,0,0
638,70,568,10,207,2,8,0
12157,3583,8574,81,480,34,47,0
5803,4960,843,19,124,11,8,0
29401,10036,19365,49,28,24,25,0
66,66,0,1,0,1,0,1
182,102,80,2,29,1,1,0
79,79,0,1,30,1,0,0
60,60,0,1,0,1,0,1
316,94,222,2,30,1,1,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
193,102,91,2,31,1,1,0
33716,17750,15966,134,329,72,62,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
2383,1460,923,18,201,10,8,0
70,70,0,1,0,1,0,2
216,110,106,2,30,1,1,0
66,66,0,1,0,1,0,1
7358,2661,4697,22,17,11,11,0
66,66,0,1,0,1,0,2
26128,9214,16914,81,512,40,41,0
70,70,0,1,0,1,0,2
78,78,0,1,0,1,0,1
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
1655,1341,314,10,15,5,5,0
66,66,0,1,0,1,0,1
1774,252,1522,5,31,3,2,0
66,66,0,1,0,1,0,2
1737,796,941,12,16,7,5,0
66,66,0,1,0,1,0,1
280,97,183,4,60,2,2,0
527,166,361,2,1200,1,1,0
774,101,673,2,30,1,1,0
299614,32024,267590,587,115,304,283,0
74,74,0,1,0,1,0,1
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
6617,1852,4765,23,132,13,10,0
760,97,663,2,31,1,1,0
177,94,83,2,30,1,1,0
210,110,100,2,30,1,1,0
234,234,0,4,12,4,0,0
163835,28514,135321,310,153,162,148,0
17356,5096,12260,46,26,24,22,0
70,70,0,1,0,1,0,2
132,132,0,3,1200,3,0,0
26922,13251,13671,50,18,26,24,0
66,66,0,1,0,1,0,2
200,102,98,2,30,1,1,0
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
70,70,0,1,0,1,0,2
183,94,89,2,30,1,1,0
66,66,0,1,0,1,0,1
763,101,662,2,30,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
322,66,256,6,16,2,4,0
225,110,115,2,29,1,1,0
1314,653,661,13,185,7,6,0
66,66,0,1,0,1,0,2
183,94,89,2,30,1,1,0
213,86,127,2,30,1,1,0
182,102,80,2,30,1,1,0
301,94,207,2,30,1,1,0
60,60,0,1,0,1,0,1
60,60,0,1,0,1,0,1
199,102,97,2,30,1,1,0
66,66,0,1,0,1,0,1
742,88,654,2,31,1,1,0
66,66,0,1,0,1,0,1
86,86,0,1,0,1,0,1
800,150,650,4,1200,2,2,0
366,240,126,7,25,5,2,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
263,94,169,2,31,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
231,90,141,2,30,1,1,0
66,66,0,1,0,1,0,1
168,86,82,2,30,1,1,0
62,62,0,1,0,1,0,1
247,98,149,2,33,1,1,0
223,223,0,1,30,1,0,0
70,70,0,1,0,1,0,2
70,70,0,2,8,2,0,0
148,148,0,1,0,1,0,1
190,70,120,4,16,2,2,0
70,70,0,1,5,1,0,0
310,94,216,2,30,1,1,0
146,146,0,1,0,1,0,1
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
5380,2214,3166,55,503,26,29,0
146,146,0,1,0,1,0,1
164,86,78,2,29,1,1,0
168,86,82,2,31,1,1,0
320,94,226,2,30,1,1,0
70,70,0,1,5,1,0,0
196,102,94,2,30,1,1,0
1412,94,1318,4,33,2,2,0
66,66,0,1,0,1,0,1
185,102,83,2,29,1,1,0
312,94,218,2,30,1,1,0
7060,1850,5210,35,110,21,14,0
66,66,0,2,7,2,0,0
166,86,80,2,30,1,1,0
214,110,104,2,30,1,1,0
7769,3958,3811,17,121,9,8,0
66,66,0,1,0,1,0,2
148,86,62,2,30,1,1,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
26156,6762,19394,37,16,16,21,0
62,62,0,1,0,1,0,1
198,93,105,2,30,1,1,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
322,262,60,2,15,1,1,0
310,126,184,2,30,1,1,0
199,102,97,2,30,1,1,0
66,66,0,1,0,1,0,2
186,95,91,2,31,1,1,0
66,66,0,1,0,1,0,2
4407024,140001,4267023,4628,124,1546,3082,0
148,86,62,2,30,1,1,0
70,70,0,1,0,1,0,2
178,94,84,2,30,1,1,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
180,94,86,2,30,1,1,0
66,66,0,1,0,1,0,2
168,78,90,2,30,1,1,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
4221,1038,3183,19,59,11,8,0
168,86,82,2,30,1,1,0
74,74,0,1,0,1,0,1
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
858,858,0,14,1200,14,0,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
66,66,0,1,5,1,0,0
70,70,0,1,0,1,0,2
5150,853,4297,16,27,9,7,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
271,88,183,4,38,2,2,0
146,146,0,1,0,1,0,1
146,146,0,1,0,1,0,1
167,78,89,2,30,1,1,0
8049,2043,6006,23,360,11,12,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
74,74,0,1,0,1,0,1
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
226,94,132,2,29,1,1,0
499,425,74,4,0,3,1,0
741,462,279,2,31,1,1,0
228,110,118,2,30,1,1,0
94,94,0,1,30,1,0,0
18160,6539,11621,37,19,22,15,0
19134,6811,12323,39,83,18,21,0
432,192,240,8,30,4,4,0
210,110,100,2,30,1,1,0
199,102,97,2,29,1,1,0
66,66,0,1,0,1,0,2
3623,1718,1905,17,186,10,7,0
217,87,130,2,31,1,1,0
70,70,0,1,0,1,0,2
229,110,119,2,30,1,1,0
130,70,60,2,15,1,1,0
6155,919,5236,18,55,10,8,0
70,70,0,1,0,1,0,1
10026,5706,4320,20,120,10,10,0
6774,3651,3123,35,80,18,17,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,1
852,150,702,4,1200,2,2,0
70,70,0,1,0,1,0,2
27557,20627,6930,89,5581,44,45,0
62,62,0,1,0,1,0,1
14329,8250,6079,26,22,16,10,0
733,94,639,2,31,1,1,0
9915,1833,8082,22,46,13,9,0
146,146,0,1,0,1,0,1
456,390,66,4,0,3,1,0
90,90,0,1,30,1,0,0
184,94,90,2,30,1,1,0
30516,3311,27205,49,47,25,24,0
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
9107,1499,7608,20,75,11,9,0
13455,1982,11473,29,31,16,13,0
126,60,66,3,5,2,1,0
4581,2831,1750,29,96,15,14,0
70,70,0,1,0,1,0,2
198,102,96,2,31,1,1,0
66,66,0,1,0,1,0,2
253,102,151,2,30,1,1,0
214,110,104,2,30,1,1,0
1151,711,440,10,15,5,5,0
480,244,236,4,0,2,2,0
193,102,91,2,30,1,1,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
4226,2910,1316,19,38,10,9,0
190,97,93,2,30,1,1,0
2544,900,1644,12,255,7,5,0
78,78,0,2,8,2,0,0
4683,1776,2907,19,29,11,8,0
10542,1216,9326,26,44,10,16,0
2742,1116,1626,11,20,6,5,0
3498,1872,1626,48,199,24,24,0
4228,3295,933,17,19,9,8,0
235,90,145,2,32,1,1,0
183,102,81,2,30,1,1,0
504,382,122,8,15,6,2,0
62,62,0,1,0,1,0,1
216,98,118,2,29,1,1,0
62,62,0,1,0,1,0,1
3183,2180,1003,16,15,8,8,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
405,285,120,5,15,3,2,0
62,62,0,1,0,1,0,1
948,473,475,13,15,7,6,0
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
8464,2891,5573,20,30,10,10,0
5612,733,4879,16,15,9,7,0
70,70,0,1,0,1,0,2
70,70,0,1,4,1,0,0
1853,1214,639,18,87,11,7,0
7966,2735,5231,22,120,10,12,0
145,145,0,1,0,1,0,1
1604,700,904,15,116,7,8,0
66,66,0,1,0,1,0,1
195,102,93,2,29,1,1,0
159,159,0,1,0,1,0,1
199,102,97,2,30,1,1,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
1494,898,596,12,142,6,6,0
74,74,0,1,0,1,0,1
70,70,0,1,0,1,0,2
211,89,122,4,29,2,2,0
396,84,312,4,54,2,2,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,1
156,66,90,2,5,1,1,0
168,78,90,2,30,1,1,0
37598,2397,35201,53,239,22,31,0
7064,2904,4160,68,88,33,35,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
36109,16793,19316,62,19,32,30,0
190,97,93,2,31,1,1,0
66,66,0,1,0,1,0,1
86,86,0,1,30,1,0,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
320,140,180,6,7,3,3,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
3409,1454,1955,16,16,8,8,0
232,94,138,2,30,1,1,0
66,66,0,1,0,1,0,1
179,94,85,2,30,1,1,0
70,70,0,1,0,1,0,2
752,93,659,2,30,1,1,0
6260,3089,3171,27,142,13,14,0
183,94,89,2,31,1,1,0
66,66,0,1,0,1,0,2
7889,1900,5989,20,16,11,9,0
66,66,0,1,0,1,0,2
515211,10976,504235,506,49,169,337,0
183,94,89,2,31,1,1,0
195,102,93,2,30,1,1,0
2504,1458,1046,21,87,10,11,0
70,70,0,1,0,1,0,2
1352,848,504,13,83,8,5,0
206,105,101,2,30,1,1,0
70,70,0,1,0,1,0,2
5701,1585,4116,23,1102,13,10,0
70,70,0,1,0,1,0,2
202,86,116,2,30,1,1,0
5953,1848,4105,18,17,10,8,0
209,110,99,2,30,1,1,0
307,86,221,2,29,1,1,0
59889,7472,52417,83,145,32,51,0
788,108,680,2,31,1,1,0
4655,1649,3006,10,120,5,5,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
233,90,143,2,32,1,1,0
199,94,105,2,30,1,1,0
70,70,0,1,0,1,0,2
195,102,93,2,30,1,1,0
206,105,101,2,31,1,1,0
199,102,97,2,31,1,1,0
760,97,663,2,30,1,1,0
2289,1583,706,14,18,8,6,0
8527,2387,6140,21,31,11,10,0
196,102,94,2,31,1,1,0
145,145,0,1,0,1,0,1
70,70,0,1,0,1,0,2
146,146,0,1,0,1,0,1
146,146,0,1,0,1,0,1
2719,1454,1265,22,34,12,10,0
70,70,0,1,5,1,0,0
1233,924,309,6,31,3,3,0
183,94,89,2,30,1,1,0
145,145,0,1,0,1,0,1
378,180,198,7,54,4,3,0
80200,69062,11138,193,89,100,93,0
62,62,0,1,0,1,0,1
60,60,0,1,0,1,0,1
266,78,188,2,30,1,1,0
179,94,85,2,29,1,1,0
66,66,0,1,0,1,0,1
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
36819,3967,32852,59,152,30,29,0
66,66,0,1,0,1,0,1
6033,1874,4159,33,4073,11,22,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
733,86,647,2,29,1,1,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
7329,949,6380,17,35,7,10,0
168,78,90,2,30,1,1,0
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
241,110,131,2,30,1,1,0
62,62,0,1,5,1,0,0
66,66,0,1,0,1,0,1
16776,7513,9263,42,47,24,18,0
165,86,79,2,31,1,1,0
146,84,62,2,31,1,1,0
170,87,83,2,30,1,1,0
210,110,100,2,30,1,1,0
204,118,86,2,30,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
2019,1219,800,15,17,8,7,0
70,70,0,2,8,2,0,0
1929,796,1133,21,135,11,10,0
1652,817,835,17,186,9,8,0
70,70,0,1,0,1,0,2
70,70,0,2,8,2,0,0
881,126,755,2,31,1,1,0
66,66,0,1,0,1,0,1
227,94,133,2,29,1,1,0
66,66,0,1,0,1,0,2
230,94,136,2,30,1,1,0
130,70,60,2,5,1,1,0
70,70,0,1,0,1,0,2
